,date,close,diff,open,high,low,volume
1,2020-09-16,62700,900,64000,66300,61800,506086
2,2020-09-15,63600,100,63800,66000,62800,578814
3,2020-09-14,63500,1800,61900,63500,61200,405214
4,2020-09-11,61700,1300,62300,62500,60600,282270
5,2020-09-10,63000,3200,61400,63600,60700,751101
9,2020-09-09,59800,600,63100,64600,59800,661647
10,2020-09-08,60400,3900,65300,65400,59900,677052
11,2020-09-07,64300,2300,63100,68200,62200,1932334
12,2020-09-04,62000,300,59100,63000,59000,599694
13,2020-09-03,62300,1100,61900,63000,60800,484109
16,2020-09-02,61200,200,62200,62700,59700,366821
17,2020-09-01,61400,3100,59700,63300,59100,988295
18,2020-08-31,58300,1300,57200,58600,56500,235871
19,2020-08-28,57000,700,57700,59500,56200,292576
20,2020-08-27,57700,1400,59900,60900,57600,521640
24,2020-08-26,59100,2300,57200,59700,55800,504039
25,2020-08-25,56800,1400,55500,58000,55500,332356
26,2020-08-24,55400,300,54900,56000,53100,281040
27,2020-08-21,55100,600,56600,57100,53800,295147
28,2020-08-20,55700,400,56300,58700,54600,676813
31,2020-08-19,55300,1800,53500,56200,52000,484809
32,2020-08-18,53500,5500,57600,58500,51900,670868
33,2020-08-14,59000,1900,61600,61800,58400,429067
34,2020-08-13,60900,2100,63800,64700,60200,538978
35,2020-08-12,63000,4400,66300,66500,62600,933468
39,2020-08-11,67400,400,67000,68200,64900,985014
40,2020-08-10,67000,9700,57900,69200,56700,3759324
41,2020-08-07,57300,1400,55900,57800,54400,484425
42,2020-08-06,55900,1000,57100,57300,55500,316208
43,2020-08-05,56900,300,57200,57300,55400,407150
46,2020-08-04,56600,700,57700,59300,56500,713045
47,2020-08-03,55900,300,56100,56200,54200,249537
48,2020-07-31,55600,600,54600,56500,54500,246787
49,2020-07-30,55000,1600,56900,57000,54600,333785
50,2020-07-29,56600,100,57000,57100,55000,317977
54,2020-07-28,56500,200,58000,58200,56000,314173
55,2020-07-27,56300,200,55500,58300,55400,339807
56,2020-07-24,56100,2200,57300,59200,55900,501996
57,2020-07-23,58300,600,58400,58800,55800,506209
58,2020-07-22,57700,1600,59100,59800,57700,478756
61,2020-07-21,59300,300,58700,60700,58200,626061
62,2020-07-20,59000,2400,56400,59400,55500,734370
63,2020-07-17,56600,600,56500,57200,55200,496922
64,2020-07-16,57200,3400,54600,57900,54000,1044927
65,2020-07-15,53800,500,55100,57500,52800,926057
69,2020-07-14,54300,2700,57700,58900,53000,1629625
70,2020-07-13,57000,4300,53900,61000,52800,2640575
71,2020-07-10,52700,1900,50300,54200,49550,1324260
72,2020-07-09,50800,3050,49900,54300,49050,2385103
73,2020-07-08,47750,750,46500,48900,45600,986056
76,2020-07-07,47000,1600,45800,49000,43500,1534507
77,2020-07-06,45400,4550,41750,45400,40800,1396392
78,2020-07-03,40850,450,40950,41500,40350,304547
79,2020-07-02,41300,1100,41000,41300,38250,663037
80,2020-07-01,40200,2100,43100,43650,40050,779806
84,2020-06-30,42300,1100,42500,43300,40100,798226
85,2020-06-29,41200,1100,39200,43400,39200,1145602
86,2020-06-26,40100,100,40750,41200,38600,513697
87,2020-06-25,40000,100,39300,41750,39300,744783
88,2020-06-24,40100,1350,42850,43300,39550,1404379
91,2020-06-23,41450,5200,37500,45000,37100,5571920
92,2020-06-22,36250,3200,33350,36950,33350,1358413
93,2020-06-19,33050,650,33050,34200,32800,456220
94,2020-06-18,32400,2000,33900,34450,32200,530743
95,2020-06-17,34400,600,34600,36050,33500,538184
99,2020-06-16,35000,3150,33600,35400,32900,710824
100,2020-06-15,31850,5050,38300,38300,31400,1283013
101,2020-06-12,36900,1050,34000,37600,33550,1439453
102,2020-06-11,35850,3450,32900,38400,32150,3705535
103,2020-06-10,32400,500,32000,33050,30900,787638
106,2020-06-09,31900,2650,31950,33500,30750,2424141
107,2020-06-08,29250,1050,28800,31650,28100,1145852
108,2020-06-05,28200,400,27800,28200,27250,160631
109,2020-06-04,27800,0,28300,28350,27350,166420
110,2020-06-03,27800,0,28100,28150,27350,161463
114,2020-06-02,27800,200,28000,28400,27550,95038
115,2020-06-01,28000,600,27800,28200,27500,152892
116,2020-05-29,27400,0,27000,27550,26450,166445
117,2020-05-28,27400,900,28450,28700,26850,234376
118,2020-05-27,28300,500,28600,29400,28000,368839
121,2020-05-26,27800,850,27300,28400,27250,240741
122,2020-05-25,26950,200,26750,27300,26650,164133
123,2020-05-22,26750,800,27550,27950,26300,315871
124,2020-05-21,27550,600,28700,30350,27500,1760404
125,2020-05-20,26950,100,27100,27350,26650,234382
129,2020-05-19,26850,100,27350,27450,26100,514023
130,2020-05-18,26750,2200,25200,27100,24750,763368
131,2020-05-15,24550,650,24250,24950,23350,304186
132,2020-05-14,23900,600,24500,24500,23450,195931
133,2020-05-13,24500,1200,23000,24850,22800,289889
136,2020-05-12,23300,450,23850,23950,22750,135426
137,2020-05-11,23750,350,24300,24350,23750,132040
138,2020-05-08,24100,350,24000,24250,23600,194023
139,2020-05-07,23750,200,23600,24050,23500,117925
140,2020-05-06,23550,350,23550,23650,23100,90583
144,2020-05-04,23200,200,23150,23600,22700,86391
145,2020-04-29,23400,100,23300,23800,23300,100488
146,2020-04-28,23500,350,24250,24250,23100,172068
147,2020-04-27,23850,500,23150,24000,23100,167184
148,2020-04-24,23350,800,24250,24600,23150,199002
151,2020-04-23,24150,0,24550,24850,23900,226541
152,2020-04-22,24150,300,24000,24200,23250,187494
153,2020-04-21,24450,50,24700,25200,22550,484381
154,2020-04-20,24500,1100,23800,25150,23100,454974
155,2020-04-17,23400,900,23800,26450,23150,1327106
159,2020-04-16,22500,1700,20800,22500,20800,320924
160,2020-04-14,20800,1100,20500,20850,20050,236001
161,2020-04-13,19700,800,20050,20450,19500,178708
162,2020-04-10,20500,50,20200,21100,19700,260346
163,2020-04-09,20450,350,20800,21000,20150,202782
166,2020-04-08,20100,450,19600,20650,19100,323097
