,date,close,diff,open,high,low,volume
1,2020-09-16,68500,400,68900,69300,68300,14028
2,2020-09-15,68900,500,69600,69900,68000,23752
3,2020-09-14,69400,200,69300,70000,68800,16456
4,2020-09-11,69200,100,68600,69200,67600,28391
5,2020-09-10,69100,1300,67800,69300,67800,24600
9,2020-09-09,67800,1700,68100,68900,67500,33727
10,2020-09-08,69500,400,70500,70800,68900,34740
11,2020-09-07,69900,100,71100,72900,69500,88287
12,2020-09-04,70000,2500,72000,72100,67900,193367
13,2020-09-03,67500,800,67600,68500,67100,19359
16,2020-09-02,68300,2300,68500,68500,66500,32872
17,2020-09-01,66000,1100,64900,67000,63900,42902
18,2020-08-31,64900,400,64600,66200,63600,44314
19,2020-08-28,65300,2500,67800,68700,64100,63552
20,2020-08-27,67800,1600,68600,69600,67700,22134
24,2020-08-26,69400,200,68900,69500,68100,21810
25,2020-08-25,69600,600,68500,69800,68200,18969
26,2020-08-24,69000,100,68600,69400,67600,31205
27,2020-08-21,69100,100,69000,70100,68300,20223
28,2020-08-20,69000,1900,70100,70100,68500,42577
31,2020-08-19,70900,900,70100,71200,69000,32672
32,2020-08-18,70000,2400,72100,72500,70000,36428
33,2020-08-14,72400,400,72800,73300,71400,40950
34,2020-08-13,72800,800,73300,73400,72200,27319
35,2020-08-12,72000,900,73100,73500,71300,37483
39,2020-08-11,72900,300,73500,74300,72200,41892
40,2020-08-10,73200,900,73000,74000,72400,39064
41,2020-08-07,72300,200,72000,73400,71600,33129
42,2020-08-06,72100,1400,73700,73800,72000,48559
43,2020-08-05,73500,400,73100,74300,72900,44232
46,2020-08-04,73100,1200,74300,74300,72700,56720
47,2020-08-03,74300,1700,76200,76900,74100,29705
48,2020-07-31,76000,3000,79400,80000,75500,74404
49,2020-07-30,79000,900,78300,80000,77000,69594
50,2020-07-29,78100,1100,77800,78600,74600,76212
54,2020-07-28,77000,400,80200,81000,73400,257036
55,2020-07-27,77400,4200,72200,77500,72200,102956
56,2020-07-24,73200,2000,75000,75500,72100,67254
57,2020-07-23,75200,5100,70800,75900,70800,121614
58,2020-07-22,70100,1000,71000,71200,70000,18101
61,2020-07-21,71100,1100,70600,71600,69500,30529
62,2020-07-20,70000,100,70000,70200,69100,11557
63,2020-07-17,69900,200,69700,70300,69100,14227
64,2020-07-16,69700,1200,70500,70900,69100,30406
65,2020-07-15,70900,400,71100,71600,70200,16944
69,2020-07-14,70500,2000,72500,73000,70200,33646
70,2020-07-13,72500,600,72000,74700,71400,51559
71,2020-07-10,71900,0,72100,72700,71000,41736
72,2020-07-09,71900,1900,70600,72000,70500,94664
73,2020-07-08,70000,0,70000,70500,69500,17118
76,2020-07-07,70000,0,70500,70500,69000,35633
77,2020-07-06,70000,900,71000,72700,68800,68498
78,2020-07-03,70900,500,70800,72000,70200,22466
79,2020-07-02,70400,200,70700,71400,69000,25230
80,2020-07-01,70600,500,70400,71500,70100,21252
84,2020-06-30,70100,200,71400,71700,70100,32591
85,2020-06-29,69900,800,70200,71500,69600,36751
86,2020-06-26,70700,1000,72000,72100,70100,43300
87,2020-06-25,71700,900,71000,72300,70800,31328
88,2020-06-24,72600,1800,71200,73400,71100,41577
91,2020-06-23,70800,800,71500,72700,70400,38918
92,2020-06-22,71600,700,72500,72700,70900,30773
93,2020-06-19,72300,900,72000,74300,70600,32632
94,2020-06-18,71400,600,70900,71900,68700,47887
95,2020-06-17,70800,400,71200,72100,69500,40713
99,2020-06-16,71200,4200,68100,71200,68100,44104
100,2020-06-15,67000,2600,69700,72800,67000,87634
101,2020-06-12,69600,600,65200,69800,65200,44712
102,2020-06-11,70200,500,71700,71800,70200,65005
103,2020-06-10,70700,1500,69200,71800,69000,46556
106,2020-06-09,69200,400,69600,70100,68400,34786
107,2020-06-08,69600,100,69500,71900,69000,36050
108,2020-06-05,69700,800,69200,70500,68200,45021
109,2020-06-04,70500,2400,72100,73000,69900,49372
110,2020-06-03,72900,400,72800,74900,72200,37484
114,2020-06-02,73300,1200,74100,75000,73200,32508
115,2020-06-01,74500,200,73700,75800,73300,43005
116,2020-05-29,74700,200,74300,76800,73800,56746
117,2020-05-28,74900,400,76100,77900,73700,85434
118,2020-05-27,75300,2900,72000,77900,69900,118782
121,2020-05-26,72400,900,72800,74900,69400,120285
122,2020-05-25,71500,7100,64400,71600,64400,149399
123,2020-05-22,64400,1400,63600,66700,62100,114138
124,2020-05-21,63000,5700,58000,66500,57600,208116
125,2020-05-20,57300,1300,56000,57700,55100,39733
129,2020-05-19,56000,100,57500,57800,56000,39783
130,2020-05-18,55900,2600,53400,56100,53400,63961
131,2020-05-15,53300,0,53600,54100,53000,24531
132,2020-05-14,53300,100,53400,54000,52500,23839
133,2020-05-13,53400,100,53000,54000,52300,23104
136,2020-05-12,53300,1200,54200,54500,52800,36910
137,2020-05-11,54500,600,55200,55500,53600,42675
138,2020-05-08,55100,2000,53200,55900,53000,65573
139,2020-05-07,53100,200,53000,53800,52500,31133
140,2020-05-06,53300,500,53500,53700,52400,46672
144,2020-05-04,52800,700,52100,54000,50800,56274
145,2020-04-29,53500,900,53200,53600,52200,79787
146,2020-04-28,52600,2300,54300,54300,51600,130768
147,2020-04-27,54900,11900,47000,55900,46500,626528
148,2020-04-24,43000,1000,43850,44000,42900,22586
151,2020-04-23,44000,300,44000,44350,43000,16731
152,2020-04-22,43700,50,43000,44100,42100,18487
153,2020-04-21,43650,1150,44350,45000,42600,39517
154,2020-04-20,44800,950,45800,45800,43900,53705
155,2020-04-17,45750,1850,44950,45850,44500,46813
159,2020-04-16,43900,100,43700,44650,42500,16396
160,2020-04-14,43800,1000,44500,44750,42900,21449
161,2020-04-13,42800,1650,44000,44150,42800,25672
162,2020-04-10,44450,950,43500,44450,42450,47569
163,2020-04-09,43500,2150,42000,43900,41700,48367
166,2020-04-08,41350,150,41200,43050,40800,33524
167,2020-04-07,41500,500,42800,42800,40700,25955
168,2020-04-06,41000,1650,39500,41000,39450,20670
169,2020-04-03,39350,650,39400,40150,38200,16078
170,2020-04-02,40000,2800,36400,40000,36400,22743
174,2020-04-01,37200,1750,38200,40500,37200,22823
175,2020-03-31,38950,650,38050,38950,38050,22683
176,2020-03-30,38300,850,38500,38800,36750,20106
177,2020-03-27,39150,200,39550,40900,38450,25171
178,2020-03-26,39350,1650,41300,41350,38900,28600
181,2020-03-25,41000,2000,39950,42200,39000,33632
182,2020-03-24,39000,5600,33750,39800,33750,17484
183,2020-03-23,33400,1300,33000,35950,31200,27411
184,2020-03-20,34700,4850,28850,36900,28850,37446
185,2020-03-19,29850,3200,36000,36200,29850,37969
189,2020-03-18,33050,3250,35800,37500,33000,17402
190,2020-03-17,36300,900,35050,37900,35050,14445
191,2020-03-16,37200,500,37350,38500,36050,15968
192,2020-03-13,37700,2300,36950,39250,34650,63134
193,2020-03-12,40000,3450,43850,44400,39600,32776
196,2020-03-11,43450,3350,43400,46750,43000,18545
197,2020-03-10,46800,1750,45050,46950,43600,18095
198,2020-03-09,45050,50,44500,45550,43150,16987
199,2020-03-06,45000,1650,46000,46500,44950,16459
200,2020-03-05,46650,350,47650,47650,46000,12647
204,2020-03-04,46300,1550,47800,49750,46050,26398
205,2020-03-03,47850,850,47050,48450,47050,9372
206,2020-03-02,47000,400,47600,48450,45100,23187
207,2020-02-28,47400,3300,50500,51400,45150,42660
208,2020-02-27,50700,2200,52200,52900,50500,8190
211,2020-02-26,52900,1500,52600,53600,51700,10339
212,2020-02-25,54400,2200,52200,54400,51400,12026
213,2020-02-24,52200,700,52900,52900,51000,15114
214,2020-02-21,52900,1500,54000,54300,52400,13548
215,2020-02-20,54400,1000,56800,56800,54400,6863
219,2020-02-19,55400,100,55700,55700,54100,8863
220,2020-02-18,55300,100,54700,56000,54700,8168
221,2020-02-17,55200,700,55600,56500,54900,8121
222,2020-02-14,55900,500,56000,56900,55800,5339
223,2020-02-13,56400,700,56300,57200,56000,11307
226,2020-02-12,57100,800,56700,57600,56500,6620
227,2020-02-11,57900,500,57100,58300,56400,7895
228,2020-02-10,57400,200,56400,57700,56100,4130
229,2020-02-07,57600,1100,57700,59300,56700,6320
230,2020-02-06,58700,400,59000,59000,57200,5010
234,2020-02-05,58300,100,58300,58800,56900,8161
235,2020-02-04,58200,100,57300,58600,56400,9155
236,2020-02-03,58300,1800,56500,60300,56300,9912
237,2020-01-31,56500,500,57000,57800,56000,13178
238,2020-01-30,56000,1300,56800,57500,55900,7863
241,2020-01-29,57300,700,58000,58700,57100,5886
242,2020-01-28,58000,2500,59200,60000,56100,27994
243,2020-01-23,60500,1000,60900,61800,60100,9927
244,2020-01-22,61500,1200,60900,61500,60300,5303
245,2020-01-21,60300,1900,62200,62600,60100,15930
249,2020-01-20,62200,800,62500,63300,62200,6173
250,2020-01-17,63000,200,63100,63800,63000,5229
251,2020-01-16,63200,700,63100,63400,62400,4488
252,2020-01-15,62500,1300,63100,63700,62400,16497
253,2020-01-14,63800,300,63300,64400,63000,9657
256,2020-01-13,63500,1200,64700,65600,63400,18190
257,2020-01-10,64700,0,64100,64900,63400,9058
258,2020-01-09,64700,1400,65800,65800,63000,15153
259,2020-01-08,63300,1800,65100,65100,63200,11221
260,2020-01-07,65100,400,64200,65800,64200,8415
264,2020-01-06,64700,1800,67500,67500,64000,14359
265,2020-01-03,66500,700,67800,68000,66300,12042
266,2020-01-02,67200,1700,68100,68100,66200,14596
267,2019-12-30,68900,0,68300,69100,67600,10791
268,2019-12-27,68900,600,66800,69500,66800,18666
271,2019-12-26,69500,500,68800,69600,68000,23853
272,2019-12-24,69000,300,68100,69100,68100,5607
273,2019-12-23,68700,900,67400,68700,67400,9550
274,2019-12-20,67800,600,66900,67800,66400,8863
275,2019-12-19,67200,600,66800,67300,66000,10964
279,2019-12-18,66600,600,65900,66900,65400,8630
280,2019-12-17,66000,900,65600,66200,65000,14722
281,2019-12-16,65100,2200,67700,67800,65000,34265
282,2019-12-13,67300,2400,70000,70900,66700,44978
283,2019-12-12,69700,3900,72700,72900,69700,163507
286,2019-12-11,73600,1100,72900,74000,71000,40994
287,2019-12-10,72500,300,72300,73100,70700,13473
288,2019-12-09,72200,0,73000,73500,71100,16909
289,2019-12-06,72200,2100,70100,72400,69500,8156
290,2019-12-05,70100,200,70600,71500,69800,5446
294,2019-12-04,70300,1600,72000,72000,70200,7414
295,2019-12-03,71900,900,71500,72900,70300,9146
296,2019-12-02,72800,1600,74900,74900,72800,41623
297,2019-11-29,74400,100,74800,74900,73400,22384
298,2019-11-28,74500,2900,72500,74900,72000,41089
301,2019-11-27,71600,100,72400,72400,70900,2085
302,2019-11-26,71700,400,72100,72500,69800,4659
303,2019-11-25,72100,500,70200,72100,70200,5448
304,2019-11-22,71600,500,71800,72000,70400,7912
305,2019-11-21,71100,1500,72600,72600,70900,7169
309,2019-11-20,72600,1300,73800,74000,71800,9944
310,2019-11-19,73900,200,74100,74100,73300,4426
311,2019-11-18,74100,1200,73500,74100,72500,19900
312,2019-11-15,72900,1000,72500,73300,71500,14498
313,2019-11-14,71900,1100,71000,71900,70000,7372
316,2019-11-13,70800,1000,69600,70800,69000,7098
317,2019-11-12,69800,700,69900,70100,67200,9485
318,2019-11-11,69100,700,68000,69900,68000,6284
319,2019-11-08,69800,1400,71100,71100,68000,14590
320,2019-11-07,71200,900,71000,71400,69300,7236
324,2019-11-06,70300,600,70400,71600,68800,13736
325,2019-11-05,69700,600,69900,69900,67800,4624
326,2019-11-04,69100,0,68300,69900,68200,5410
327,2019-11-01,69100,800,68200,69500,67500,6994
328,2019-10-31,68300,1700,69000,69900,67100,10049
331,2019-10-30,70000,2100,68000,71800,67200,21892
332,2019-10-29,67900,3500,64500,67900,64000,17979
333,2019-10-28,64400,1200,62900,64900,62700,5748
334,2019-10-25,63200,200,64000,64100,62500,3438
335,2019-10-24,63400,500,62900,63900,62100,3727
339,2019-10-23,62900,1300,63200,64900,62900,4068
340,2019-10-22,64200,1600,63500,64300,62600,4674
341,2019-10-21,62600,500,64200,64500,62600,2458
342,2019-10-18,63100,500,64400,64400,63000,3819
343,2019-10-17,63600,800,63600,64800,62900,6480
346,2019-10-16,62800,200,63000,63400,62700,4853
347,2019-10-15,62600,700,63300,63800,62500,8526
348,2019-10-14,63300,1000,64400,64400,63200,8546
349,2019-10-11,64300,200,64100,65400,63100,6161
350,2019-10-10,64500,400,64600,65400,63100,5886
354,2019-10-08,64900,300,65000,65000,62000,21848
355,2019-10-07,64600,600,63700,65500,63700,3885
356,2019-10-04,64000,800,64500,65100,64000,5775
357,2019-10-02,64800,2000,65800,66700,64800,10786
358,2019-10-01,66800,100,65600,67900,65500,6155
361,2019-09-30,66700,400,67500,67500,65500,3619
362,2019-09-27,67100,0,67100,67300,65500,5281
363,2019-09-26,67100,1400,68500,68800,67100,5210
364,2019-09-25,68500,100,68700,69300,67200,2770
365,2019-09-24,68600,700,67000,69300,66500,6938
369,2019-09-23,67900,2000,68500,69300,67900,3450
370,2019-09-20,69900,2800,67100,69900,66000,6977
371,2019-09-19,67100,200,66800,67500,65200,3172
372,2019-09-18,66900,1100,65800,67800,65800,7793
373,2019-09-17,65800,1200,65000,66000,64500,7413
376,2019-09-16,64600,100,64300,65400,63400,11583
377,2019-09-11,64500,3000,67600,67600,63700,35319
378,2019-09-10,67500,200,68300,68300,65600,41651
379,2019-09-09,67300,1900,69000,69000,66300,8694
380,2019-09-06,69200,700,69400,70000,68000,7975
384,2019-09-05,69900,0,69400,71000,68100,7095
385,2019-09-04,69900,900,68900,70500,68000,8579
386,2019-09-03,69000,2100,66900,69300,65800,11483
387,2019-09-02,66900,300,66200,67400,65000,8959
388,2019-08-30,66600,3600,63500,67400,63400,13607
391,2019-08-29,63000,900,64200,64300,62500,5201
392,2019-08-28,63900,200,65100,65600,61600,18222
393,2019-08-27,64100,700,65500,66700,64000,9473
394,2019-08-26,64800,2100,66000,66800,64800,7567
395,2019-08-23,66900,500,67200,68000,66000,8737
399,2019-08-22,67400,800,70200,70200,66700,13498
400,2019-08-21,68200,200,68400,69600,67400,5589
401,2019-08-20,68400,1300,69200,71200,68100,6873
402,2019-08-19,69700,1500,70800,71200,69400,8005
403,2019-08-16,71200,2300,68700,71700,67000,8992
406,2019-08-14,68900,400,68900,69800,68100,8241
407,2019-08-13,68500,1400,69900,69900,68200,9641
408,2019-08-12,69900,1800,72200,72200,69500,7831
409,2019-08-09,71700,700,71600,72000,69000,14265
410,2019-08-08,71000,3400,68500,71200,67300,16301
414,2019-08-07,67600,2400,67000,68200,65900,9822
415,2019-08-06,65200,2300,67800,68900,63000,16561
416,2019-08-05,67500,3000,71200,71800,66500,25654
417,2019-08-02,70500,1600,67200,72800,67200,18910
418,2019-08-01,68900,2200,71500,71700,67300,18804
421,2019-07-31,71100,1200,72300,72300,70000,19872
422,2019-07-30,72300,100,72300,73200,69700,6839
423,2019-07-29,72200,1000,71200,72400,66000,20363
424,2019-07-26,71200,2300,73400,73400,70300,9245
425,2019-07-25,73500,600,74000,75700,72100,15371
429,2019-07-24,74100,2600,76300,77300,74100,9638
430,2019-07-23,76700,1600,78200,78200,74400,23730
431,2019-07-22,78300,600,77800,78500,76400,6680
432,2019-07-19,77700,100,77200,78300,76400,7933
433,2019-07-18,77800,1200,79000,79300,76500,17969
436,2019-07-17,79000,800,78700,80600,77200,20208
437,2019-07-16,79800,300,79300,80000,77600,21733
438,2019-07-15,79500,1900,77600,79800,76400,29322
439,2019-07-12,77600,6600,71000,78000,69900,52293
440,2019-07-11,71000,1500,72800,72800,69600,12505
444,2019-07-10,72500,1100,71000,73300,70500,18071
445,2019-07-09,71400,2900,68500,72100,68500,17847
446,2019-07-08,68500,1500,70400,70400,68300,16873
447,2019-07-05,70000,1100,70600,71400,69800,11726
448,2019-07-04,71100,0,70800,71300,70500,4287
451,2019-07-03,71100,100,71000,71400,69600,11437
452,2019-07-02,71000,300,69900,71300,69000,16941
453,2019-07-01,70700,2200,73900,73900,69300,21113
454,2019-06-28,72900,0,72900,73500,72100,6910
455,2019-06-27,72900,600,72300,74600,72300,16741
459,2019-06-26,72300,600,73000,73300,71600,9394
460,2019-06-25,72900,100,72300,74400,71700,17972
461,2019-06-24,72800,600,71500,75000,71500,25659
