,date,close,diff,open,high,low,volume
1,2020-09-16,35850,850,35150,36350,35100,32755
2,2020-09-15,35000,600,34750,35150,34450,9410
3,2020-09-14,34400,350,33900,34650,33900,9106
4,2020-09-11,34050,200,34350,34350,33900,10088
5,2020-09-10,34250,100,34450,34600,34050,8340
9,2020-09-09,34150,350,34300,34300,34000,4213
10,2020-09-08,34500,300,34550,34900,34050,9499
11,2020-09-07,34200,400,34000,34850,33750,6262
12,2020-09-04,33800,550,33500,34000,33500,5728
13,2020-09-03,34350,300,34050,34400,33850,6464
16,2020-09-02,34050,200,34700,34700,33650,3735
17,2020-09-01,33850,100,33900,33900,33500,3766
18,2020-08-31,33950,500,33400,33950,33300,14551
19,2020-08-28,33450,0,33250,34000,33200,10829
20,2020-08-27,33450,450,34150,34150,33400,5458
24,2020-08-26,33900,100,34300,35500,33200,5782
25,2020-08-25,34000,550,33500,34050,33000,8061
26,2020-08-24,33450,250,33900,34000,33150,5635
27,2020-08-21,33700,500,33850,34000,33050,3401
28,2020-08-20,33200,1100,34300,34700,33050,12920
31,2020-08-19,34300,50,34400,34450,34100,11593
32,2020-08-18,34250,1350,35600,35600,34000,25886
33,2020-08-14,35600,750,35300,35750,34800,17503
34,2020-08-13,34850,150,35300,35400,34800,19528
35,2020-08-12,35000,200,35500,35500,34000,31129
39,2020-08-11,35200,300,34800,35750,34800,23675
40,2020-08-10,34900,350,34550,35100,34550,14578
41,2020-08-07,34550,450,34800,35650,34550,15193
42,2020-08-06,35000,200,35150,35450,34750,12413
43,2020-08-05,35200,100,35600,35650,35150,14765
46,2020-08-04,35300,100,35450,35600,35000,19940
47,2020-08-03,35400,1250,34200,35400,34200,12319
48,2020-07-31,34150,250,34700,34700,34150,5537
49,2020-07-30,34400,100,34350,35000,34150,11176
50,2020-07-29,34300,650,34500,34900,33850,18838
54,2020-07-28,34950,200,35150,35500,34550,6517
55,2020-07-27,35150,200,34550,35300,34550,5576
56,2020-07-24,34950,200,35000,35000,34300,7479
57,2020-07-23,35150,350,35900,35900,34600,8664
58,2020-07-22,35500,900,36400,36400,35200,15397
61,2020-07-21,36400,400,36000,36400,35900,10474
62,2020-07-20,36000,1500,34550,36600,34500,14944
63,2020-07-17,34500,450,33750,35600,33750,11980
64,2020-07-16,34050,300,34500,35150,34050,9853
65,2020-07-15,34350,650,34100,35900,33750,24364
69,2020-07-14,33700,1550,32400,33950,32000,15836
70,2020-07-13,32150,350,32300,32400,31900,22973
71,2020-07-10,31800,700,32500,32700,31500,18817
72,2020-07-09,32500,0,32500,32900,32350,9268
73,2020-07-08,32500,550,33000,33400,32350,20313
76,2020-07-07,33050,650,33700,34200,32900,12422
77,2020-07-06,33700,250,33900,33900,33400,9965
78,2020-07-03,33450,1100,32950,34000,32500,19062
79,2020-07-02,32350,350,32150,32800,32000,3722
80,2020-07-01,32000,450,32450,32950,32000,9871
84,2020-06-30,32450,150,32300,32900,32300,6681
85,2020-06-29,32300,700,32300,32900,32250,5666
86,2020-06-26,33000,200,33950,33950,32300,13049
87,2020-06-25,33200,450,33650,33650,32950,7646
88,2020-06-24,33650,50,34350,34350,33500,6155
91,2020-06-23,33700,100,33850,34350,33700,4818
92,2020-06-22,33800,700,34450,35000,33800,6766
93,2020-06-19,34500,100,34300,34950,34000,9782
94,2020-06-18,34600,700,35650,36000,34400,17715
95,2020-06-17,35300,2200,33100,35550,33000,15215
99,2020-06-16,33100,550,32900,33700,32900,28282
100,2020-06-15,32550,3050,35600,35600,32550,20235
101,2020-06-12,35600,1700,36700,36700,35600,20489
102,2020-06-11,37300,200,37300,37750,37050,9474
103,2020-06-10,37500,500,37600,38200,37250,13356
106,2020-06-09,38000,500,39200,39200,37900,14714
107,2020-06-08,38500,200,38900,39000,38150,16939
108,2020-06-05,38700,450,39550,39550,38200,17155
109,2020-06-04,39150,350,39700,39950,39150,5687
110,2020-06-03,39500,100,39700,40500,39350,17456
114,2020-06-02,39400,100,39750,39750,39150,6533
115,2020-06-01,39500,350,40000,40000,39200,3090
116,2020-05-29,39150,750,39850,39850,38950,5564
117,2020-05-28,39900,200,40450,40450,39500,11284
118,2020-05-27,40100,700,41200,41200,39700,16598
121,2020-05-26,40800,100,41000,41000,38450,7829
122,2020-05-25,40900,0,41100,41950,40500,4101
123,2020-05-22,40900,1000,42600,42600,40900,4974
124,2020-05-21,41900,450,42050,43250,41800,7142
125,2020-05-20,42350,350,42000,42950,41700,6364
129,2020-05-19,42000,800,42850,42850,41500,11073
130,2020-05-18,42800,250,43050,43900,41900,12304
131,2020-05-15,43050,1250,41850,43300,41850,15143
132,2020-05-14,41800,1450,40350,42500,39950,19855
133,2020-05-13,40350,1300,40500,40600,39350,22362
136,2020-05-12,39050,100,39000,39050,38000,9999
137,2020-05-11,38950,250,38950,39050,38500,7282
138,2020-05-08,38700,600,38150,38800,37800,5149
139,2020-05-07,38100,400,38300,38300,37450,5165
140,2020-05-06,38500,700,39200,39400,37900,9792
144,2020-05-04,39200,600,38250,39700,38100,13750
145,2020-04-29,38600,1550,37850,38800,37550,13152
146,2020-04-28,37050,1800,35550,37550,35550,20614
147,2020-04-27,35250,350,35850,35850,34550,14146
148,2020-04-24,34900,750,35650,35750,34600,13058
