,date,close,diff,open,high,low,volume
1,2020-09-16,133400,4500,129000,135400,128400,83286
2,2020-09-15,128900,500,128500,130900,127800,39410
3,2020-09-14,128400,1500,130500,133300,127800,69755
4,2020-09-11,129900,7900,122100,130400,121000,118493
5,2020-09-10,122000,1400,121300,123100,119300,46240
9,2020-09-09,120600,1800,117300,120700,116800,35532
10,2020-09-08,118800,2000,116900,120900,116900,51012
11,2020-09-07,116800,1100,117700,117900,116000,26723
12,2020-09-04,117900,2500,117900,119000,117000,36834
13,2020-09-03,120400,1600,118600,121100,118500,29427
16,2020-09-02,118800,500,119800,121600,118100,44936
17,2020-09-01,119300,2300,116700,119800,115200,58200
18,2020-08-31,117000,3500,114400,118400,114100,69613
19,2020-08-28,113500,1600,112200,114800,112200,38420
20,2020-08-27,111900,500,112400,113300,110400,38657
24,2020-08-26,112400,1700,114300,114500,111300,22080
25,2020-08-25,114100,2300,111900,114800,111300,29949
26,2020-08-24,111800,500,111300,112500,109900,22122
27,2020-08-21,111300,2200,110700,112900,109200,27459
28,2020-08-20,109100,4500,112000,112500,109000,35299
31,2020-08-19,113600,1700,111900,113900,111400,26372
32,2020-08-18,111900,3400,115700,116200,111200,55667
33,2020-08-14,115300,1300,114400,115800,113800,34323
34,2020-08-13,114000,100,115600,116300,114000,36279
35,2020-08-12,114100,200,114800,114800,112200,31545
39,2020-08-11,114300,1200,114300,114900,113500,41818
40,2020-08-10,113100,3400,111900,113200,110000,51400
41,2020-08-07,109700,1800,112800,113400,109100,42522
42,2020-08-06,111500,800,111400,112600,109200,36469
43,2020-08-05,110700,2600,108200,111200,108100,30698
46,2020-08-04,108100,2100,106000,108300,105700,27058
47,2020-08-03,106000,0,106100,106800,106000,13445
48,2020-07-31,106000,1300,107800,107800,105900,32913
49,2020-07-30,107300,400,107500,108400,107000,19356
50,2020-07-29,107700,0,108000,108000,106400,18397
54,2020-07-28,107700,1400,106400,108100,106300,14290
55,2020-07-27,106300,200,106500,107400,106000,11104
56,2020-07-24,106500,0,106500,107600,106000,13687
57,2020-07-23,106500,600,107100,107700,106100,16877
58,2020-07-22,107100,400,107300,108300,107000,19412
61,2020-07-21,107500,1500,109000,109700,107200,32331
62,2020-07-20,109000,1700,107300,109200,106700,14416
63,2020-07-17,107300,0,106800,108200,106800,13288
64,2020-07-16,107300,100,108000,108200,106200,27269
65,2020-07-15,107400,400,107400,110400,106000,39082
69,2020-07-14,107800,1100,108000,108500,107500,16651
70,2020-07-13,108900,1200,107800,109100,107400,12202
71,2020-07-10,107700,1900,109100,109900,107500,17854
72,2020-07-09,109600,800,109300,110800,108400,15321
73,2020-07-08,108800,2500,110500,112100,108800,20126
76,2020-07-07,111300,1300,112700,112700,110500,19474
77,2020-07-06,112600,100,112500,112900,110200,11431
78,2020-07-03,112500,200,111100,113400,110500,9307
79,2020-07-02,112300,2200,110100,112800,109500,17489
80,2020-07-01,110100,900,110500,111300,109000,17797
84,2020-06-30,109200,600,111300,111700,109100,24403
85,2020-06-29,109800,3200,112600,112700,109100,17093
86,2020-06-26,113000,1900,111200,113200,110600,10749
87,2020-06-25,111100,2900,112800,113300,110700,16898
88,2020-06-24,114000,2100,114900,117000,113700,19058
91,2020-06-23,116100,200,115200,118400,114100,12916
92,2020-06-22,115900,3100,115300,118300,114300,17251
93,2020-06-19,119000,3800,115200,119000,112400,38891
94,2020-06-18,115200,2500,110100,115600,109900,22108
95,2020-06-17,112700,100,111500,114700,109000,24600
99,2020-06-16,112600,4100,111100,113800,110000,18383
100,2020-06-15,108500,7900,115200,116300,108500,33437
101,2020-06-12,116400,3300,115900,119100,114600,24125
102,2020-06-11,119700,2100,121000,122100,119700,29462
103,2020-06-10,121800,500,122300,123000,121100,11846
106,2020-06-09,122300,200,123800,123900,121600,16599
107,2020-06-08,122500,400,122300,124900,121500,19768
108,2020-06-05,122100,100,122600,123500,121300,16275
109,2020-06-04,122000,600,123200,123600,121900,21296
110,2020-06-03,122600,1100,121700,124300,121600,40419
114,2020-06-02,121500,900,120600,123300,120300,21745
115,2020-06-01,122400,3100,119300,122400,117600,19604
116,2020-05-29,119300,2300,121600,121900,119300,21869
117,2020-05-28,121600,1400,123200,123300,120800,17737
118,2020-05-27,123000,1500,121600,124900,121600,19599
121,2020-05-26,124500,0,123000,124900,121500,12463
122,2020-05-25,124500,400,125400,125900,122600,6416
123,2020-05-22,124100,4900,128100,128100,124100,15449
124,2020-05-21,129000,600,127800,129500,127300,7280
125,2020-05-20,128400,1300,129700,129900,127700,14138
129,2020-05-19,129700,3900,127100,129800,126400,20337
130,2020-05-18,125800,2800,123000,127100,122100,19015
131,2020-05-15,123000,400,122600,123800,120900,15037
132,2020-05-14,122600,100,120500,124000,120500,12645
133,2020-05-13,122500,700,120200,123700,119800,13734
136,2020-05-12,121800,800,121400,122400,120000,14551
