,date,close,diff,open,high,low,volume
1,2020-09-16,4420,90,4510,4525,4400,214657
2,2020-09-15,4510,180,4780,4785,4480,367517
3,2020-09-14,4690,530,4270,4935,4140,1979338
4,2020-09-11,4160,25,4150,4260,4150,87198
5,2020-09-10,4135,5,4130,4270,4095,202679
9,2020-09-09,4130,100,4030,4145,4005,84065
10,2020-09-08,4030,105,4185,4190,4025,148729
11,2020-09-07,4135,110,4000,4485,3995,928568
12,2020-09-04,4025,30,3930,4060,3920,64660
13,2020-09-03,4055,35,4030,4080,3995,44018
16,2020-09-02,4020,5,4040,4090,3950,48549
17,2020-09-01,4015,55,3960,4055,3950,44378
18,2020-08-31,3960,15,3910,4015,3910,64526
19,2020-08-28,3945,145,3800,4145,3795,340042
20,2020-08-27,3800,10,3795,3840,3795,33499
24,2020-08-26,3810,25,3835,3860,3790,40134
25,2020-08-25,3835,25,3840,3855,3810,21251
26,2020-08-24,3810,60,3870,3880,3790,21763
27,2020-08-21,3870,30,3820,3915,3820,29364
28,2020-08-20,3840,40,3870,3915,3770,55947
31,2020-08-19,3880,80,3800,3950,3800,20365
32,2020-08-18,3800,165,3920,3945,3785,87334
33,2020-08-14,3965,45,4010,4025,3960,29687
34,2020-08-13,4010,25,4035,4095,3985,48128
35,2020-08-12,4035,15,4050,4100,3910,74962
39,2020-08-11,4050,95,4000,4190,3965,181908
40,2020-08-10,3955,30,3965,4035,3945,27769
41,2020-08-07,3985,15,3960,4040,3960,26787
42,2020-08-06,4000,15,4000,4035,3960,27382
43,2020-08-05,3985,30,3955,4040,3940,24961
46,2020-08-04,3955,45,3910,4010,3905,30860
47,2020-08-03,3910,35,3950,3950,3910,20782
48,2020-07-31,3945,5,3925,3955,3910,15361
49,2020-07-30,3940,40,3995,4030,3920,17829
50,2020-07-29,3980,15,4000,4045,3940,41315
54,2020-07-28,3995,60,4080,4140,3985,42772
55,2020-07-27,4055,0,4015,4140,3980,56773
56,2020-07-24,4055,25,4060,4065,4000,36531
57,2020-07-23,4080,40,4010,4200,4000,57945
58,2020-07-22,4040,105,4145,4185,4035,56052
61,2020-07-21,4145,155,4305,4320,4120,136704
62,2020-07-20,4300,300,4065,4325,4000,468677
63,2020-07-17,4000,5,3995,4200,3975,70526
64,2020-07-16,3995,5,4080,4090,3970,46020
65,2020-07-15,3990,115,3880,3990,3875,44137
69,2020-07-14,3875,30,3875,3940,3875,18442
70,2020-07-13,3905,10,3860,3910,3845,24133
71,2020-07-10,3895,25,3845,4300,3800,252293
72,2020-07-09,3870,45,3915,3920,3840,23512
73,2020-07-08,3915,90,3830,3950,3795,31010
76,2020-07-07,3825,30,3865,3990,3810,19723
77,2020-07-06,3855,80,3935,3935,3850,41081
78,2020-07-03,3935,15,3955,4015,3920,32779
79,2020-07-02,3950,145,3840,4200,3800,228152
80,2020-07-01,3805,5,3810,3875,3740,37719
84,2020-06-30,3800,15,3815,4000,3800,37450
85,2020-06-29,3815,95,3940,3940,3800,20603
86,2020-06-26,3910,60,3885,3950,3840,8600
87,2020-06-25,3850,100,4060,4060,3835,26599
88,2020-06-24,3950,35,3925,4025,3920,26373
91,2020-06-23,3915,45,4100,4100,3885,26822
92,2020-06-22,3960,120,4000,4085,3935,22498
93,2020-06-19,4080,100,3960,4080,3935,18977
94,2020-06-18,3980,15,3965,4005,3930,11280
95,2020-06-17,3965,175,4060,4100,3920,23991
99,2020-06-16,4140,280,3860,4140,3860,33053
100,2020-06-15,3860,210,4070,4070,3860,61543
101,2020-06-12,4070,85,4000,4175,4000,24284
102,2020-06-11,4155,110,4085,4320,4050,72607
103,2020-06-10,4045,125,4130,4165,4025,35155
106,2020-06-09,4170,65,4235,4275,4120,37679
107,2020-06-08,4235,5,4195,4325,4145,50755
108,2020-06-05,4230,15,4280,4280,4200,25881
109,2020-06-04,4245,60,4305,4340,4210,48935
110,2020-06-03,4305,95,4375,4430,4295,37737
114,2020-06-02,4400,0,4400,4480,4350,73138
115,2020-06-01,4400,170,4340,4500,4260,81299
116,2020-05-29,4230,0,4225,4280,4200,21715
117,2020-05-28,4230,30,4395,4395,4160,58388
118,2020-05-27,4260,90,4345,4430,4250,68564
121,2020-05-26,4350,5,4360,4680,4255,317596
122,2020-05-25,4355,75,4280,4355,4190,52734
123,2020-05-22,4280,70,4350,4365,4200,53100
124,2020-05-21,4350,25,4350,4415,4315,127892
125,2020-05-20,4325,325,4100,4465,4100,577545
129,2020-05-19,4000,0,4040,4040,3980,27286
130,2020-05-18,4000,90,3900,4005,3880,34256
131,2020-05-15,3910,35,3910,4100,3905,19342
132,2020-05-14,3945,5,3900,4030,3900,22166
133,2020-05-13,3940,25,3950,4000,3940,13408
136,2020-05-12,3965,60,4180,4180,3920,34704
137,2020-05-11,4025,55,4080,4080,4015,18228
138,2020-05-08,4080,5,4100,4115,4000,31649
139,2020-05-07,4075,10,4085,4250,4070,70873
140,2020-05-06,4085,10,4070,4145,4025,47957
144,2020-05-04,4075,10,4100,4130,4020,21569
145,2020-04-29,4065,5,4065,4120,4065,15676
146,2020-04-28,4060,85,4145,4145,4050,28290
147,2020-04-27,4145,25,4180,4220,4110,45959
148,2020-04-24,4170,10,4090,4230,3960,42605
151,2020-04-23,4180,5,4190,4225,4100,58629
152,2020-04-22,4185,215,3955,4185,3820,94349
153,2020-04-21,3970,125,4175,4275,3800,186131
154,2020-04-20,4095,0,4090,4310,4040,266774
155,2020-04-17,4095,60,4075,4145,4055,77576
159,2020-04-16,4155,135,4090,4155,3905,107942
160,2020-04-14,4020,35,3950,4050,3950,53119
161,2020-04-13,3985,50,4005,4030,3935,33884
162,2020-04-10,4035,45,4000,4035,3900,98907
163,2020-04-09,3990,55,3935,4000,3925,71302
166,2020-04-08,3935,10,3925,3980,3855,38492
167,2020-04-07,3925,45,3880,4000,3845,55441
168,2020-04-06,3880,5,3885,3900,3800,32114
169,2020-04-03,3885,45,3930,3950,3850,20194
170,2020-04-02,3930,100,3830,3930,3755,59781
174,2020-04-01,3830,45,3745,3970,3745,81836
175,2020-03-31,3875,210,3650,4040,3650,233429
176,2020-03-30,3665,30,3635,3750,3505,68401
177,2020-03-27,3635,20,3700,3750,3580,56376
178,2020-03-26,3615,20,3595,3745,3560,82413
181,2020-03-25,3595,145,3520,3650,3520,67384
182,2020-03-24,3450,195,3260,3490,3260,183688
183,2020-03-23,3255,135,3215,3310,3060,128657
184,2020-03-20,3390,190,3205,3610,3205,142846
185,2020-03-19,3200,165,3365,3400,3050,72844
189,2020-03-18,3365,5,3370,3460,3215,162952
190,2020-03-17,3370,150,2810,3420,2810,262179
191,2020-03-16,3220,50,3170,3280,3130,133711
192,2020-03-13,3170,130,2700,3200,2700,245519
193,2020-03-12,3300,285,3435,3530,3210,206125
196,2020-03-11,3585,85,3670,3800,3540,88120
197,2020-03-10,3670,80,3655,3770,3600,85502
198,2020-03-09,3750,160,3810,3860,3745,72116
199,2020-03-06,3910,105,4010,4010,3860,46192
200,2020-03-05,4015,20,3985,4035,3940,33528
204,2020-03-04,3995,25,4020,4020,3920,55962
205,2020-03-03,4020,300,3765,4100,3765,168881
