,date,close,diff,open,high,low,volume
1,2020-09-16,42050,400,42050,43450,41700,558254
2,2020-09-15,41650,50,42050,42050,41200,272655
3,2020-09-14,41600,500,41150,41800,40850,275381
4,2020-09-11,41100,300,41200,41750,40700,294775
5,2020-09-10,40800,150,41100,41300,40700,246910
9,2020-09-09,40950,800,41500,41500,40800,173336
10,2020-09-08,41750,550,41300,42600,41150,329512
11,2020-09-07,41200,400,40600,41550,40450,193256
12,2020-09-04,40800,600,40600,40800,40350,227021
13,2020-09-03,41400,400,41900,42100,41350,163205
16,2020-09-02,41800,600,41350,41850,41050,173635
17,2020-09-01,41200,150,40900,41350,40700,126933
18,2020-08-31,41050,50,41000,41900,40750,200454
19,2020-08-28,41000,400,40600,41350,40550,200488
20,2020-08-27,40600,1300,41900,41900,40500,328759
24,2020-08-26,41900,700,42550,42550,41550,179560
25,2020-08-25,42600,550,42050,42800,42050,175579
26,2020-08-24,42050,50,41950,42150,41000,137452
27,2020-08-21,42000,950,41700,43250,41600,232333
28,2020-08-20,41050,2500,43150,43550,41050,412362
31,2020-08-19,43550,50,43500,44200,43250,210586
32,2020-08-18,43500,3200,46400,46500,43400,475007
33,2020-08-14,46700,600,46300,46850,46050,323873
34,2020-08-13,46100,50,46250,46750,45900,304944
35,2020-08-12,46050,500,46550,46550,45700,265929
39,2020-08-11,46550,550,45900,47100,45800,291417
40,2020-08-10,46000,350,46300,46300,45600,283338
41,2020-08-07,46350,400,46900,47050,46150,206228
42,2020-08-06,46750,400,46550,47550,46400,319685
43,2020-08-05,46350,500,46850,47000,46000,263694
46,2020-08-04,46850,800,45950,47350,45950,311108
47,2020-08-03,46050,250,46900,46900,45800,201478
48,2020-07-31,46300,550,46850,47000,46300,198221
49,2020-07-30,46850,350,46500,47000,46150,244344
50,2020-07-29,46500,250,46050,46700,45600,213524
54,2020-07-28,46250,100,46400,47400,46200,332412
55,2020-07-27,46350,350,45050,46650,45050,194944
56,2020-07-24,46000,500,45950,46650,45050,321342
57,2020-07-23,46500,1600,48100,48150,46200,523962
58,2020-07-22,48100,1900,48800,48850,48000,698830
