,date,close,diff,open,high,low,volume
1,2020-09-16,7800,20,7780,7870,7680,55904
2,2020-09-15,7780,50,7960,7960,7450,75952
3,2020-09-14,7830,260,7690,7940,7600,107131
4,2020-09-11,7570,140,7430,7920,7430,199747
5,2020-09-10,7430,40,7390,7540,7380,39505
9,2020-09-09,7390,100,7340,7470,7330,50690
10,2020-09-08,7490,50,7570,7660,7430,64332
11,2020-09-07,7540,170,7370,7580,7360,82513
12,2020-09-04,7370,120,7320,7400,7290,51088
13,2020-09-03,7490,110,7600,7600,7410,71293
16,2020-09-02,7380,80,7300,7620,7300,58933
17,2020-09-01,7300,70,7230,7350,7230,31577
18,2020-08-31,7230,80,7320,7430,7220,47378
19,2020-08-28,7310,20,7340,7470,7260,46509
20,2020-08-27,7330,120,7500,7500,7230,80773
24,2020-08-26,7450,50,7550,7550,7300,34271
25,2020-08-25,7500,230,7280,7500,7280,41390
26,2020-08-24,7270,20,7250,7270,7020,71027
27,2020-08-21,7250,30,7200,7330,7120,47051
28,2020-08-20,7220,270,7480,7500,7120,85712
31,2020-08-19,7490,120,7480,7570,7420,46333
32,2020-08-18,7370,420,7780,7780,7370,155138
33,2020-08-14,7790,10,7790,7890,7680,71699
34,2020-08-13,7800,210,8070,8140,7800,116025
35,2020-08-12,8010,180,8190,8270,7920,149646
39,2020-08-11,8190,260,8040,8220,7980,290245
40,2020-08-10,7930,370,7540,8000,7540,257639
41,2020-08-07,7560,70,7700,7700,7520,34813
42,2020-08-06,7630,80,7610,7730,7560,70331
43,2020-08-05,7550,0,7640,7640,7490,41483
46,2020-08-04,7550,90,7440,7640,7440,53560
47,2020-08-03,7460,40,7540,7540,7420,36047
48,2020-07-31,7500,90,7530,7630,7460,39488
49,2020-07-30,7590,30,7630,7630,7530,41593
50,2020-07-29,7560,20,7630,7640,7480,44019
54,2020-07-28,7540,10,7760,7760,7540,60126
55,2020-07-27,7550,60,7490,7630,7490,47538
56,2020-07-24,7490,40,7470,7630,7450,58627
57,2020-07-23,7530,260,7820,7870,7450,100612
58,2020-07-22,7790,20,7820,8070,7700,136423
61,2020-07-21,7770,30,7830,7880,7560,98990
62,2020-07-20,7740,300,7550,7760,7430,159897
63,2020-07-17,7440,60,7560,7560,7420,41498
64,2020-07-16,7500,130,7520,7540,7370,78321
65,2020-07-15,7370,220,7200,7570,7200,201039
69,2020-07-14,7150,10,7180,7180,7090,37679
70,2020-07-13,7160,40,7160,7190,7100,33782
71,2020-07-10,7120,170,7250,7280,7070,64970
72,2020-07-09,7290,20,7350,7370,7210,38135
73,2020-07-08,7270,20,7200,7300,7200,25055
76,2020-07-07,7250,60,7250,7340,7150,57790
77,2020-07-06,7190,30,7240,7280,7100,38732
78,2020-07-03,7160,70,7140,7250,7070,48370
79,2020-07-02,7090,50,7200,7200,7020,35519
80,2020-07-01,7040,80,7140,7170,7040,43212
84,2020-06-30,7120,50,7220,7340,7030,141086
85,2020-06-29,7170,120,7020,8300,6820,839643
86,2020-06-26,7050,30,7060,7120,6970,39703
87,2020-06-25,7020,200,7150,7160,6990,53420
88,2020-06-24,7220,130,7170,7240,7140,46956
91,2020-06-23,7090,40,7200,7260,6960,81491
92,2020-06-22,7130,140,7290,7430,7040,84882
93,2020-06-19,7270,40,7230,7340,7110,64594
94,2020-06-18,7230,50,7180,7290,7100,62401
95,2020-06-17,7180,180,7300,7410,7110,101074
99,2020-06-16,7360,320,7150,7400,7140,102284
100,2020-06-15,7040,630,7670,7680,7030,187446
101,2020-06-12,7670,380,7420,7740,7420,182096
102,2020-06-11,8050,150,8160,8590,7980,422064
103,2020-06-10,8200,380,8510,8530,8200,364710
106,2020-06-09,8580,370,8900,9020,8470,650355
107,2020-06-08,8950,530,8570,9840,8470,3755020
108,2020-06-05,8420,60,8570,8730,8230,1046851
109,2020-06-04,8360,320,8690,10450,8260,5049265
110,2020-06-03,8040,550,7530,8480,7490,835043
114,2020-06-02,7490,90,7500,7650,7440,50702
115,2020-06-01,7400,50,7300,7540,7300,48282
116,2020-05-29,7350,10,7340,7360,7180,24104
117,2020-05-28,7340,170,7510,7590,7240,52716
118,2020-05-27,7510,10,7520,7650,7480,80041
121,2020-05-26,7500,220,7320,7860,7290,271206
122,2020-05-25,7280,20,7190,7300,7090,52613
123,2020-05-22,7260,210,7470,7470,7180,23622
124,2020-05-21,7470,150,7350,7500,7300,40055
125,2020-05-20,7320,10,7320,7340,7250,23907
129,2020-05-19,7330,180,7260,7370,7200,30275
130,2020-05-18,7150,110,7260,7260,7070,19151
131,2020-05-15,7260,10,7300,7300,7100,24802
132,2020-05-14,7270,10,7180,7290,7130,26049
133,2020-05-13,7280,120,7370,7370,7200,14639
136,2020-05-12,7400,150,7460,7560,7240,25006
137,2020-05-11,7550,50,7680,7680,7420,25268
138,2020-05-08,7600,290,7330,7700,7330,74166
139,2020-05-07,7310,120,7200,7310,7150,18861
140,2020-05-06,7190,30,7170,7230,7020,29962
144,2020-05-04,7220,10,7070,7260,7040,31858
145,2020-04-29,7210,90,7160,7250,7120,33372
146,2020-04-28,7120,30,7190,7250,7010,23408
147,2020-04-27,7150,140,7020,7160,7020,27071
148,2020-04-24,7010,150,7160,7190,6930,24912
151,2020-04-23,7160,120,7070,7190,7040,32572
152,2020-04-22,7040,10,6910,7060,6820,26908
153,2020-04-21,7050,150,6920,7400,6710,71689
154,2020-04-20,6900,110,6830,7070,6760,65107
155,2020-04-17,6790,30,6940,6980,6780,33546
159,2020-04-16,6820,0,6720,6960,6700,32363
160,2020-04-14,6820,120,6640,6880,6640,30414
161,2020-04-13,6700,80,6800,6830,6670,21768
162,2020-04-10,6780,170,6620,6980,6600,43050
163,2020-04-09,6610,140,6550,6760,6550,35553
166,2020-04-08,6470,0,6370,6540,6330,28317
167,2020-04-07,6470,160,6420,6600,6250,36968
168,2020-04-06,6310,230,6080,6370,6080,37639
169,2020-04-03,6080,10,6080,6140,5900,12695
170,2020-04-02,6070,40,6100,6110,5940,19651
174,2020-04-01,6110,10,6110,6390,6000,48098
175,2020-03-31,6120,260,5920,6200,5920,21082
176,2020-03-30,5860,50,5770,5880,5450,42505
177,2020-03-27,5910,60,6080,6140,5790,27910
178,2020-03-26,5850,0,5820,6030,5700,57862
181,2020-03-25,5850,500,5450,5880,5450,69091
182,2020-03-24,5350,340,5090,5350,5090,37112
183,2020-03-23,5010,460,5290,5290,4990,52588
184,2020-03-20,5470,280,5140,5480,5140,47304
185,2020-03-19,5190,680,5740,5870,5050,69417
189,2020-03-18,5870,300,6120,6240,5850,24213
190,2020-03-17,6170,70,5820,6200,5820,46514
191,2020-03-16,6240,170,6360,6590,6240,45595
192,2020-03-13,6410,390,6300,6570,5780,89668
193,2020-03-12,6800,430,7070,7220,6790,51654
196,2020-03-11,7230,200,7460,7460,7180,25554
197,2020-03-10,7430,40,7390,7430,6920,24557
198,2020-03-09,7390,360,7740,7740,7260,46005
199,2020-03-06,7750,40,7660,7790,7500,28304
200,2020-03-05,7790,140,7650,7840,7650,15521
204,2020-03-04,7650,170,7400,7780,7400,25933
205,2020-03-03,7480,160,7390,7500,7390,18407
206,2020-03-02,7320,30,7320,7470,7250,55209
207,2020-02-28,7350,400,7700,7740,7310,59763
208,2020-02-27,7750,30,7740,7940,7620,27759
211,2020-02-26,7780,170,7840,8050,7760,23435
212,2020-02-25,7950,50,7990,8030,7760,27603
213,2020-02-24,8000,130,7980,8250,7850,43661
214,2020-02-21,8130,140,8270,8290,8130,23750
215,2020-02-20,8270,180,8410,8410,8250,18916
219,2020-02-19,8450,20,8430,8700,8220,31669
220,2020-02-18,8430,0,8430,8430,8390,8431
221,2020-02-17,8430,90,8430,8480,8300,37538
222,2020-02-14,8520,0,8470,8520,8320,31561
223,2020-02-13,8520,0,8520,8580,8420,24873
226,2020-02-12,8520,50,8600,8600,8390,54399
227,2020-02-11,8570,0,8570,8640,8500,38557
228,2020-02-10,8570,80,8610,8650,8500,20982
229,2020-02-07,8650,40,8610,8730,8580,11898
230,2020-02-06,8610,90,8500,8640,8500,23676
234,2020-02-05,8520,90,8450,8520,8450,12242
235,2020-02-04,8430,210,8220,8460,8220,9323
236,2020-02-03,8220,0,7900,8220,7850,44320
237,2020-01-31,8220,230,8370,8540,8220,26577
238,2020-01-30,8450,180,8560,8620,8450,14810
241,2020-01-29,8630,110,8520,8660,8520,18886
242,2020-01-28,8520,480,8570,8990,8500,49202
243,2020-01-23,9000,50,9070,9070,8860,30171
244,2020-01-22,9050,0,9050,9070,8960,16523
245,2020-01-21,9050,80,9180,9180,9000,22791
249,2020-01-20,9130,0,9170,9180,9050,26396
250,2020-01-17,9130,30,9090,9220,9010,19841
251,2020-01-16,9100,70,9110,9190,9050,19252
252,2020-01-15,9170,10,9150,9200,9050,16932
253,2020-01-14,9160,60,9130,9290,9020,25344
256,2020-01-13,9220,180,8990,9270,8950,31235
257,2020-01-10,9040,50,9090,9090,8940,20208
258,2020-01-09,9090,80,9020,9140,9020,19497
259,2020-01-08,9010,70,9080,9080,8860,25349
260,2020-01-07,9080,10,8970,9110,8970,4713
264,2020-01-06,9090,150,9240,9240,9030,12003
265,2020-01-03,9240,30,9290,9380,9110,25583
266,2020-01-02,9270,260,9030,9330,9030,45468
267,2019-12-30,9010,60,8950,9020,8910,6437
268,2019-12-27,8950,10,8860,9000,8860,18853
271,2019-12-26,8960,50,9020,9100,8910,22515
272,2019-12-24,9010,90,9030,10500,9000,238708
273,2019-12-23,9100,30,9100,9140,9020,6533
274,2019-12-20,9070,70,9000,9090,8990,2387
275,2019-12-19,9000,0,8900,9060,8890,19367
279,2019-12-18,9000,40,8960,9040,8940,4371
280,2019-12-17,8960,110,8810,9160,8810,30679
281,2019-12-16,8850,0,8850,8880,8810,8781
282,2019-12-13,8850,20,8920,8950,8850,42574
283,2019-12-12,8870,10,8880,8900,8720,11429
286,2019-12-11,8880,20,8900,8940,8660,22694
287,2019-12-10,8900,80,8980,8980,8830,7053
288,2019-12-09,8820,70,8750,8930,8750,6628
289,2019-12-06,8750,30,8770,8800,8700,13126
290,2019-12-05,8780,150,8930,8930,8780,14261
294,2019-12-04,8930,130,9100,9100,8890,10475
295,2019-12-03,9060,20,9080,9080,8960,8127
296,2019-12-02,9080,50,9150,9150,8970,18187
297,2019-11-29,9030,200,9230,9280,9000,17109
298,2019-11-28,9230,30,9200,9300,9090,9165
301,2019-11-27,9200,40,9240,9290,9150,6824
302,2019-11-26,9240,210,9030,9250,9030,16466
303,2019-11-25,9030,10,9050,9100,9000,9127
304,2019-11-22,9020,0,9000,9090,8990,7755
305,2019-11-21,9020,100,9170,9170,8980,8288
309,2019-11-20,9120,30,9080,9150,9040,8054
310,2019-11-19,9090,60,9030,9090,8970,6687
311,2019-11-18,9030,30,9060,9070,8940,24255
312,2019-11-15,9060,0,9020,9200,9010,11673
313,2019-11-14,9060,80,9190,9300,9030,11751
316,2019-11-13,9140,90,9220,9300,9080,7292
317,2019-11-12,9230,190,9040,9250,9000,13872
318,2019-11-11,9040,0,9040,9100,9000,8540
319,2019-11-08,9040,10,9000,9060,9000,5932
320,2019-11-07,9030,10,8980,9030,8960,15538
324,2019-11-06,9020,30,9080,9080,9010,5462
325,2019-11-05,9050,10,9050,9100,9000,12918
326,2019-11-04,9040,120,9160,9200,8970,21763
327,2019-11-01,9160,0,9120,9270,8980,16396
328,2019-10-31,9160,270,9430,9430,9100,23913
331,2019-10-30,9430,110,9540,9540,9340,16228
332,2019-10-29,9540,200,9420,9550,9370,57043
333,2019-10-28,9340,340,9150,9400,9040,38341
334,2019-10-25,9000,30,9090,9140,8910,22548
335,2019-10-24,8970,70,8810,9000,8810,18931
339,2019-10-23,8900,160,9060,9090,8900,13291
340,2019-10-22,9060,20,9020,9060,8970,5957
341,2019-10-21,9080,40,9040,9080,8860,12192
342,2019-10-18,9040,60,9100,9100,8920,10274
343,2019-10-17,9100,100,9200,9200,9030,4228
346,2019-10-16,9200,50,9140,9250,9070,10346
347,2019-10-15,9150,50,9200,9210,8940,38553
348,2019-10-14,9200,80,9120,9220,9100,15395
349,2019-10-11,9120,20,9170,9170,8900,14062
350,2019-10-10,9100,170,9090,9100,8800,18874
354,2019-10-08,8930,20,9020,9020,8850,4322
355,2019-10-07,8950,0,8850,9010,8850,18833
356,2019-10-04,8950,70,9020,9020,8910,7402
357,2019-10-02,9020,60,8920,9040,8850,7125
358,2019-10-01,8960,70,9030,9100,8960,16374
