,date,close,diff,open,high,low,volume
1,2020-09-16,8380,40,8440,8440,8310,48456
2,2020-09-15,8420,50,8400,8460,8310,86202
3,2020-09-14,8370,20,8440,8450,8300,48252
4,2020-09-11,8390,40,8270,8400,8250,35333
5,2020-09-10,8350,60,8280,8460,8280,58958
9,2020-09-09,8290,30,8290,8390,8120,39787
10,2020-09-08,8320,90,8450,8470,8290,25661
11,2020-09-07,8410,230,8300,8540,8270,84957
12,2020-09-04,8180,130,8010,8180,7960,93463
13,2020-09-03,8310,20,8280,8440,8260,47072
16,2020-09-02,8330,0,8300,8400,8270,30975
17,2020-09-01,8330,50,8430,8430,8260,20830
18,2020-08-31,8380,20,8340,8550,8340,31999
19,2020-08-28,8400,120,8410,8600,8210,102502
20,2020-08-27,8280,180,8390,8530,8220,58922
24,2020-08-26,8460,0,8500,8540,8300,72188
25,2020-08-25,8460,400,8070,8600,8070,123333
26,2020-08-24,8060,120,7900,8060,7850,61752
27,2020-08-21,7940,40,8120,8120,7880,125869
28,2020-08-20,7980,520,8500,8510,7830,238607
31,2020-08-19,8500,190,8170,8600,8170,156986
32,2020-08-18,8310,30,8280,8710,8200,332565
33,2020-08-14,8280,150,8100,8300,7870,143502
34,2020-08-13,8130,190,8320,8380,8100,198186
35,2020-08-12,8320,410,7900,8350,7730,213502
39,2020-08-11,7910,10,7950,8060,7870,39849
40,2020-08-10,7920,70,7850,8000,7770,35059
41,2020-08-07,7850,20,7940,7950,7750,32568
42,2020-08-06,7870,20,7970,7990,7820,25798
43,2020-08-05,7890,70,8040,8050,7600,38068
46,2020-08-04,7960,160,7940,7980,7850,25914
47,2020-08-03,7800,20,7800,7950,7760,30960
48,2020-07-31,7820,230,8080,8140,7780,57181
49,2020-07-30,8050,300,7750,8300,7750,203999
50,2020-07-29,7750,60,7760,7770,7630,27959
54,2020-07-28,7690,80,7630,7780,7600,43862
55,2020-07-27,7610,40,7620,7640,7490,31045
56,2020-07-24,7570,40,7520,7610,7480,26725
57,2020-07-23,7610,120,7740,7850,7520,35297
58,2020-07-22,7730,310,7420,7850,7420,84010
61,2020-07-21,7420,10,7390,7500,7360,31493
62,2020-07-20,7410,80,7520,7550,7370,17470
63,2020-07-17,7490,90,7460,7510,7380,17391
64,2020-07-16,7400,10,7450,7490,7350,16195
65,2020-07-15,7410,60,7400,7450,7230,19962
69,2020-07-14,7350,10,7300,7390,7260,19149
70,2020-07-13,7340,170,7200,7400,7180,29332
71,2020-07-10,7170,190,7350,7400,7150,32415
72,2020-07-09,7360,100,7260,7360,7260,21011
73,2020-07-08,7260,40,7290,7290,7170,19922
76,2020-07-07,7220,40,7270,7330,7220,18535
77,2020-07-06,7260,30,7360,7360,7230,22082
78,2020-07-03,7290,60,7280,7340,7170,5098
79,2020-07-02,7230,90,7040,7250,7040,9189
80,2020-07-01,7140,0,7280,7280,7100,26316
84,2020-06-30,7140,30,7180,7290,7120,16404
85,2020-06-29,7110,240,7420,7420,7060,30593
86,2020-06-26,7350,50,7400,7490,7340,19209
87,2020-06-25,7400,140,7520,7520,7350,20273
88,2020-06-24,7540,10,7530,7580,7410,22180
91,2020-06-23,7530,10,7600,7600,7430,10991
92,2020-06-22,7540,110,7430,7550,7430,13984
93,2020-06-19,7430,140,7670,7680,7430,60530
94,2020-06-18,7570,70,7610,7640,7500,31163
95,2020-06-17,7640,60,7700,7820,7500,16297
99,2020-06-16,7700,120,7660,7800,7660,21370
100,2020-06-15,7580,110,7750,7940,7580,49538
101,2020-06-12,7690,170,7560,7750,7440,23362
102,2020-06-11,7860,270,8130,8150,7850,31858
103,2020-06-10,8130,10,8140,8180,8100,13163
106,2020-06-09,8140,70,8200,8310,8110,20938
107,2020-06-08,8210,40,8250,8350,8160,26815
108,2020-06-05,8250,170,8090,8300,8080,50613
109,2020-06-04,8080,20,8170,8280,8040,53815
110,2020-06-03,8060,60,8200,8300,8060,55454
114,2020-06-02,8120,10,8090,8190,8060,43584
115,2020-06-01,8130,0,8030,8200,8030,20789
116,2020-05-29,8130,50,8080,8220,7980,23927
117,2020-05-28,8080,240,8430,8430,7900,64860
118,2020-05-27,8320,220,8100,8450,8090,73484
121,2020-05-26,8100,200,7990,8120,7840,24744
122,2020-05-25,7900,40,7860,7950,7860,9934
123,2020-05-22,7860,270,8110,8180,7800,29113
124,2020-05-21,8130,20,8060,8190,8030,39128
125,2020-05-20,8110,110,8000,8120,7950,28328
129,2020-05-19,8000,180,7850,8110,7830,45496
130,2020-05-18,7820,70,7820,7830,7670,17681
131,2020-05-15,7750,10,7740,7850,7640,13732
132,2020-05-14,7740,220,7490,7850,7400,31735
133,2020-05-13,7520,70,7460,7570,7370,11641
136,2020-05-12,7590,160,7800,7800,7500,20369
137,2020-05-11,7750,50,7860,7920,7720,25668
138,2020-05-08,7800,90,7690,7850,7650,34187
139,2020-05-07,7710,500,7210,7800,7210,62467
140,2020-05-06,7210,30,7270,7270,7110,21775
144,2020-05-04,7180,110,7150,7240,7120,24858
145,2020-04-29,7290,150,7170,7430,7110,43464
146,2020-04-28,7140,0,7220,7230,7070,19310
147,2020-04-27,7140,70,7070,7200,7070,17658
148,2020-04-24,7070,140,7210,7210,7050,20338
151,2020-04-23,7210,50,7150,7250,7150,11476
152,2020-04-22,7160,30,7080,7190,6970,47075
153,2020-04-21,7130,160,7250,7320,7090,31751
154,2020-04-20,7290,130,7190,7360,7160,31432
155,2020-04-17,7160,80,7130,7250,7110,45026
159,2020-04-16,7080,70,7140,7200,6990,37972
160,2020-04-14,7150,90,7160,7170,7020,23928
161,2020-04-13,7060,270,7440,7440,7060,18152
162,2020-04-10,7330,20,7260,7450,7210,20548
163,2020-04-09,7310,170,7250,7340,7110,31207
166,2020-04-08,7140,60,7150,7310,7140,52029
167,2020-04-07,7200,360,6930,7200,6930,60461
168,2020-04-06,6840,150,6660,6870,6640,25486
169,2020-04-03,6690,30,6750,6780,6630,23192
170,2020-04-02,6720,160,6880,6940,6570,54764
174,2020-04-01,6880,110,6990,7050,6860,20305
175,2020-03-31,6990,180,6860,7030,6860,31551
176,2020-03-30,6810,70,6600,6820,6510,16076
177,2020-03-27,6740,130,6700,6860,6620,46367
178,2020-03-26,6610,200,6500,6770,6400,49228
181,2020-03-25,6410,220,6340,6540,6330,67450
182,2020-03-24,6190,300,6000,6190,5970,61417
183,2020-03-23,5890,390,5910,6120,5810,62399
184,2020-03-20,6280,340,5880,6280,5880,45003
185,2020-03-19,5940,370,6320,6470,5900,86218
189,2020-03-18,6310,60,6390,6550,6310,21329
190,2020-03-17,6370,80,6210,6560,6210,23155
191,2020-03-16,6450,260,6750,6860,6440,48696
192,2020-03-13,6710,430,6800,6800,6330,110638
193,2020-03-12,7140,300,7400,7440,7060,57906
196,2020-03-11,7440,290,7750,7760,7440,52669
197,2020-03-10,7730,0,7730,7730,7550,34165
198,2020-03-09,7730,490,8220,8220,7720,38861
199,2020-03-06,8220,10,8200,8250,8100,12567
200,2020-03-05,8210,300,7990,8240,7990,25153
204,2020-03-04,7910,100,7790,7970,7710,19331
205,2020-03-03,7810,110,7760,7960,7760,32070
206,2020-03-02,7700,40,7730,7730,7600,19385
207,2020-02-28,7660,240,7720,7870,7660,43120
208,2020-02-27,7900,190,8130,8130,7810,16216
211,2020-02-26,8090,70,8000,8100,7930,10066
212,2020-02-25,8020,250,7740,8050,7710,15221
213,2020-02-24,7770,240,7910,7960,7750,44221
214,2020-02-21,8010,190,8190,8190,7970,28043
215,2020-02-20,8200,120,8370,8370,8130,22692
219,2020-02-19,8320,120,8480,8480,8290,14935
220,2020-02-18,8440,60,8460,8500,8320,13151
221,2020-02-17,8500,40,8540,8540,8480,9755
222,2020-02-14,8540,40,8640,8640,8530,8712
223,2020-02-13,8580,80,8500,8610,8460,19069
226,2020-02-12,8500,80,8420,8590,8420,24643
227,2020-02-11,8420,70,8330,8420,8330,16734
228,2020-02-10,8350,50,8390,8390,8230,15065
229,2020-02-07,8300,80,8420,8420,8290,13907
230,2020-02-06,8380,130,8290,8420,8270,25046
234,2020-02-05,8250,40,8220,8330,8180,17126
235,2020-02-04,8210,110,8110,8230,8110,51475
236,2020-02-03,8100,240,8180,8190,8050,51294
237,2020-01-31,8340,210,8630,8630,8320,25627
238,2020-01-30,8550,20,8540,8630,8510,25013
241,2020-01-29,8570,0,8650,8650,8540,15995
242,2020-01-28,8570,250,8680,8800,8520,44294
243,2020-01-23,8820,50,8800,8830,8730,20267
244,2020-01-22,8770,120,8940,8950,8700,67909
245,2020-01-21,8890,120,9070,9080,8890,16078
249,2020-01-20,9010,20,9090,9100,8980,13166
250,2020-01-17,9030,80,8970,9030,8920,10207
251,2020-01-16,8950,20,8990,8990,8880,13213
252,2020-01-15,8970,10,8990,9030,8930,23608
253,2020-01-14,8960,0,8960,9030,8960,15539
256,2020-01-13,8960,150,8780,8980,8780,17318
257,2020-01-10,8810,60,8820,8840,8700,11336
258,2020-01-09,8750,100,8790,8860,8720,22962
259,2020-01-08,8650,180,8880,8880,8630,47090
260,2020-01-07,8830,40,8850,8970,8830,13931
264,2020-01-06,8870,140,8970,8970,8850,18274
265,2020-01-03,9010,0,9030,9060,8990,12632
266,2020-01-02,9010,10,9100,9110,8960,10666
267,2019-12-30,9020,10,9050,9090,8980,7470
