,date,close,diff,open,high,low,volume
1,2020-09-16,11300,50,11250,11300,11200,612674
2,2020-09-15,11250,100,11350,11400,11200,860258
3,2020-09-14,11350,100,11250,11450,11250,698757
4,2020-09-11,11250,50,11200,11250,11100,682050
5,2020-09-10,11200,0,11350,11350,11200,788760
9,2020-09-09,11200,150,11150,11350,11150,989277
10,2020-09-08,11350,100,11500,11550,11350,785947
11,2020-09-07,11450,50,11400,11450,11200,996948
12,2020-09-04,11400,150,11200,11400,11100,876336
13,2020-09-03,11550,100,11600,11650,11400,901709
16,2020-09-02,11450,0,11550,11600,11350,743403
17,2020-09-01,11450,150,11300,11500,11300,678033
18,2020-08-31,11300,300,11650,11700,11300,1703336
19,2020-08-28,11600,150,11500,11750,11500,825096
20,2020-08-27,11450,350,11800,11850,11450,1236454
24,2020-08-26,11800,200,12100,12150,11750,810497
25,2020-08-25,12000,150,11950,12100,11850,1091891
26,2020-08-24,11850,350,11650,11850,11300,825528
27,2020-08-21,11500,100,11450,11700,11400,1231991
28,2020-08-20,11400,550,11850,11950,11350,1856984
31,2020-08-19,11950,100,11900,12050,11850,1088812
32,2020-08-18,11850,550,12350,12350,11850,1702325
33,2020-08-14,12400,200,12650,12800,12350,1320229
34,2020-08-13,12600,200,12650,13000,12450,3406447
35,2020-08-12,12400,50,12350,12500,12100,1503635
39,2020-08-11,12350,350,12100,12700,12050,3328975
40,2020-08-10,12000,100,11900,12000,11750,1278825
41,2020-08-07,11900,200,12100,12100,11800,1281632
42,2020-08-06,12100,150,12000,12200,11950,1159976
43,2020-08-05,11950,150,12150,12200,11900,956510
46,2020-08-04,12100,350,11800,12200,11800,1101635
47,2020-08-03,11750,150,12000,12000,11700,962480
48,2020-07-31,11900,100,12000,12200,11900,1032238
49,2020-07-30,12000,0,12050,12150,11900,1197340
50,2020-07-29,12000,0,12100,12150,12000,979253
54,2020-07-28,12000,100,12150,12200,12000,1014370
55,2020-07-27,12100,0,12100,12300,12000,783159
56,2020-07-24,12100,200,12150,12300,12100,833712
57,2020-07-23,12300,150,12500,12600,12150,1099823
58,2020-07-22,12450,100,12650,12700,12450,1119097
61,2020-07-21,12550,300,12300,12750,12250,1265670
62,2020-07-20,12250,50,12250,12350,12100,812151
63,2020-07-17,12300,100,12450,12500,12250,714020
64,2020-07-16,12400,250,12650,12650,12300,1043937
65,2020-07-15,12650,650,12200,13100,12150,3717863
69,2020-07-14,12000,200,12100,12200,11950,623954
70,2020-07-13,12200,250,12000,12200,11950,673060
71,2020-07-10,11950,100,12000,12150,11850,731879
72,2020-07-09,12050,150,12250,12300,12050,646017
73,2020-07-08,12200,50,12250,12450,12150,885520
76,2020-07-07,12250,350,12600,12650,12250,1315402
77,2020-07-06,12600,500,12200,12600,12100,1329656
78,2020-07-03,12100,0,12100,12250,12050,846954
79,2020-07-02,12100,50,12100,12250,12050,704909
80,2020-07-01,12050,200,12250,12400,12000,904326
84,2020-06-30,12250,550,11900,12300,11850,1689659
85,2020-06-29,11700,150,11650,11850,11550,973758
86,2020-06-26,11850,50,12000,12000,11800,801037
87,2020-06-25,11800,500,11950,12100,11800,1317534
88,2020-06-24,12300,250,12150,12400,12050,964841
91,2020-06-23,12050,250,12500,12600,12000,1193774
92,2020-06-22,12300,250,12650,12850,12300,1028039
93,2020-06-19,12550,400,12400,12650,12100,1296009
94,2020-06-18,12150,150,11900,12250,11800,1033853
95,2020-06-17,12000,150,11900,12300,11800,1410291
99,2020-06-16,12150,650,11850,12150,11750,1485493
100,2020-06-15,11500,950,12200,12350,11450,2312235
101,2020-06-12,12450,600,12250,12500,12050,2470115
102,2020-06-11,13050,250,13200,13200,12750,2041825
103,2020-06-10,13300,100,13450,13550,13200,1664143
106,2020-06-09,13200,450,13750,13800,13100,2079452
107,2020-06-08,13650,150,13800,13900,13400,1961450
108,2020-06-05,13500,200,13300,13500,12950,2470256
109,2020-06-04,13300,250,13950,14350,13200,4599255
110,2020-06-03,13550,1150,12600,13900,12600,8146839
114,2020-06-02,12400,150,12400,12700,12250,2608088
115,2020-06-01,12250,150,12100,12300,12000,1763324
116,2020-05-29,12100,450,11500,12100,11450,2509000
117,2020-05-28,11650,500,12350,12400,11400,3675531
118,2020-05-27,12150,700,11600,12150,11500,5313934
121,2020-05-26,11450,300,11200,11550,11100,1451826
122,2020-05-25,11150,100,11200,11200,11000,1062729
123,2020-05-22,11250,300,11500,11600,11100,1666293
124,2020-05-21,11550,50,11800,11800,11400,1544896
125,2020-05-20,11600,50,11500,11650,11400,1091966
129,2020-05-19,11650,550,11450,11800,11350,3301584
130,2020-05-18,11100,250,11000,11250,10900,1535720
131,2020-05-15,10850,50,10950,11050,10800,1017661
132,2020-05-14,10800,200,10900,11000,10750,1297999
133,2020-05-13,11000,100,10850,11000,10800,1244780
136,2020-05-12,11100,250,11350,11400,11000,1799691
137,2020-05-11,11350,300,11550,11600,11300,1668406
138,2020-05-08,11650,50,11700,11950,11600,1590894
139,2020-05-07,11600,300,11900,11900,11500,2032850
140,2020-05-06,11900,800,11350,11950,11300,3456511
144,2020-05-04,11100,400,11200,11300,11000,2086301
145,2020-04-29,11500,450,11250,11650,11150,3139442
146,2020-04-28,11050,50,11150,11200,10900,1567765
147,2020-04-27,11100,200,10950,11200,10950,1286656
148,2020-04-24,10900,350,11150,11200,10900,1154865
151,2020-04-23,11250,300,11150,11400,11050,2236073
152,2020-04-22,10950,50,10750,10950,10450,2009153
153,2020-04-21,11000,250,11000,11200,10700,2177978
154,2020-04-20,11250,200,11550,11600,11250,1843859
155,2020-04-17,11450,450,11300,11650,11200,2764096
159,2020-04-16,11000,400,11200,11300,10700,2727513
160,2020-04-14,11400,0,11400,11550,11200,2422091
161,2020-04-13,11400,250,11900,11900,11400,1720144
162,2020-04-10,11650,100,11500,11800,11400,2211107
163,2020-04-09,11550,400,11350,11700,11350,2149013
166,2020-04-08,11150,150,11000,11350,10800,2165090
167,2020-04-07,11000,300,11050,11150,10750,2601951
168,2020-04-06,10700,300,10550,10750,10350,2269531
169,2020-04-03,10400,50,10800,10850,10200,3177743
170,2020-04-02,10350,480,9830,10400,9460,3355276
174,2020-04-01,9870,280,10000,10300,9750,2194319
175,2020-03-31,10150,200,10350,10550,10050,3382528
176,2020-03-30,9950,250,9580,10200,9580,2771331
177,2020-03-27,10200,100,10950,11000,9730,4224449
178,2020-03-26,10100,690,9780,10900,9500,7857943
181,2020-03-25,9410,1620,8380,9640,8250,6919451
