,date,close,diff,open,high,low,volume
1,2020-09-16,20550,100,20650,20750,20450,1401
2,2020-09-15,20650,150,20750,20800,20550,1075
3,2020-09-14,20800,300,20450,20850,20400,6142
4,2020-09-11,20500,250,20250,20500,20100,4838
5,2020-09-10,20250,100,20150,20300,19950,3248
9,2020-09-09,20150,50,20500,20500,19950,1828
10,2020-09-08,20200,0,20450,20450,20050,1599
11,2020-09-07,20200,350,19800,20200,19800,3623
12,2020-09-04,19850,100,19800,19900,19750,3322
13,2020-09-03,19950,50,20000,20300,19850,998
16,2020-09-02,20000,0,20000,20050,19800,3270
17,2020-09-01,20000,50,19950,20000,19850,2633
18,2020-08-31,19950,100,20000,20000,19700,1525
19,2020-08-28,19850,0,19850,20050,19850,2153
20,2020-08-27,19850,0,19850,19900,19700,6739
24,2020-08-26,19850,200,20050,20400,19850,2734
25,2020-08-25,20050,250,19800,20050,19550,5026
26,2020-08-24,19800,50,19900,19900,19500,700
27,2020-08-21,19750,250,19850,19850,19400,3924
28,2020-08-20,19500,450,19950,20300,19300,5958
31,2020-08-19,19950,250,20000,20000,19650,7362
32,2020-08-18,19700,300,20500,20500,19450,13217
33,2020-08-14,20000,0,20050,20450,20000,3595
34,2020-08-13,20000,0,20000,20300,20000,3550
35,2020-08-12,20000,50,20350,20350,19800,7734
39,2020-08-11,20050,250,20400,20400,19900,5486
40,2020-08-10,19800,250,19550,19900,19450,12099
41,2020-08-07,19550,100,19950,19950,19250,1901
42,2020-08-06,19650,50,19700,19950,19600,4079
43,2020-08-05,19700,100,19850,19850,19650,2174
46,2020-08-04,19600,100,19500,19850,19350,2698
47,2020-08-03,19500,500,19200,19500,19000,2513
48,2020-07-31,19000,150,19250,19300,18950,2459
49,2020-07-30,19150,100,19050,19400,18900,4028
50,2020-07-29,19050,150,19300,19400,18800,1144
54,2020-07-28,18900,250,19150,19250,18900,1783
55,2020-07-27,19150,100,19250,19300,19000,1485
56,2020-07-24,19250,0,19250,19250,18700,1400
57,2020-07-23,19250,50,19000,19300,18900,711
58,2020-07-22,19200,50,19200,19400,19150,1987
61,2020-07-21,19250,150,19300,19400,18800,3182
62,2020-07-20,19100,150,19350,19400,18950,2381
63,2020-07-17,19250,250,19000,19350,19000,1493
64,2020-07-16,19000,400,18750,19000,18700,2857
65,2020-07-15,18600,150,18700,18700,18450,2094
69,2020-07-14,18450,50,18300,18500,18200,30381
70,2020-07-13,18400,0,18350,18900,18200,40724
71,2020-07-10,18400,200,18850,18850,18400,1598
