,date,close,diff,open,high,low,volume
1,2020-09-16,74700,1100,74700,77500,73200,89177
2,2020-09-15,75800,200,77500,77500,74700,67219
3,2020-09-14,76000,3500,73300,78000,73300,147551
4,2020-09-11,72500,4400,70000,74500,69500,199477
5,2020-09-10,68100,1200,67500,68800,66600,62888
9,2020-09-09,66900,1100,64700,67800,64000,61254
10,2020-09-08,65800,3000,63300,66900,63100,54642
11,2020-09-07,62800,600,62700,63500,62300,27141
12,2020-09-04,63400,1800,64000,64100,62800,41502
13,2020-09-03,65200,0,67400,67400,64300,44044
16,2020-09-02,65200,300,64500,66000,64000,31069
17,2020-09-01,64900,400,65300,66000,63600,45049
18,2020-08-31,65300,3500,62900,67000,62900,132302
19,2020-08-28,61800,3500,60000,61900,59400,107300
20,2020-08-27,58300,600,58900,59000,57800,37998
24,2020-08-26,58900,1100,60300,60300,58700,32098
25,2020-08-25,60000,1200,58800,60100,58600,26631
26,2020-08-24,58800,500,57800,59200,57800,16800
27,2020-08-21,58300,400,57900,59200,57600,36133
28,2020-08-20,57900,3800,61200,61300,57900,75547
31,2020-08-19,61700,100,61600,62100,61100,33278
32,2020-08-18,61600,2400,64500,64500,61600,34827
33,2020-08-14,64000,300,65500,65500,63200,26412
34,2020-08-13,64300,1400,63800,65100,63300,60896
35,2020-08-12,62900,100,63500,64300,62100,66591
39,2020-08-11,62800,300,62500,63400,62100,37302
40,2020-08-10,62500,400,61600,63000,61100,42059
41,2020-08-07,62100,300,61700,62800,61500,29432
42,2020-08-06,61800,1000,60900,62500,60800,42631
43,2020-08-05,60800,200,60700,61600,60500,24827
46,2020-08-04,61000,900,60200,61500,60100,35298
47,2020-08-03,60100,500,60600,61000,60000,30392
48,2020-07-31,60600,200,60700,61300,60500,26263
49,2020-07-30,60800,0,60600,61700,60600,30679
50,2020-07-29,60800,800,61200,61300,60500,52835
54,2020-07-28,61600,600,62000,63100,61600,28530
55,2020-07-27,62200,300,62700,63000,61600,33459
56,2020-07-24,62500,100,62100,63100,61200,18792
57,2020-07-23,62400,900,63400,63400,62300,27726
58,2020-07-22,63300,1300,64400,64800,63000,43854
61,2020-07-21,64600,0,64300,65600,64300,24617
62,2020-07-20,64600,400,65000,65400,64000,11874
63,2020-07-17,65000,300,65500,65900,64000,17049
64,2020-07-16,64700,200,64200,65500,63900,18388
65,2020-07-15,64500,0,64900,65600,63600,33975
69,2020-07-14,64500,1400,62700,64500,62200,18302
70,2020-07-13,63100,1400,62400,63100,61600,16684
71,2020-07-10,61700,1100,62800,63000,61400,34923
72,2020-07-09,62800,900,64100,64100,62100,29572
73,2020-07-08,63700,500,64200,64400,63200,22130
76,2020-07-07,64200,500,64800,65200,63700,27315
77,2020-07-06,64700,100,65800,65800,63900,27574
78,2020-07-03,64600,100,64500,65100,64300,19164
79,2020-07-02,64500,100,64400,65600,64400,12745
80,2020-07-01,64400,400,64200,65500,63800,17717
84,2020-06-30,64000,200,64000,65200,63900,15005
85,2020-06-29,63800,1600,64000,64800,62800,27476
86,2020-06-26,65400,900,64700,66700,63600,22685
87,2020-06-25,64500,2400,66500,66500,64500,22180
88,2020-06-24,66900,900,65700,67000,65300,19400
91,2020-06-23,66000,100,66500,66900,64500,16005
92,2020-06-22,66100,2300,67300,67600,66100,20712
93,2020-06-19,68400,600,68600,68800,67100,16691
94,2020-06-18,67800,1600,68200,68600,67500,29768
95,2020-06-17,69400,1600,71000,71100,68500,18868
99,2020-06-16,71000,4500,67100,71000,66800,32520
100,2020-06-15,66500,5100,70400,70700,66500,41583
101,2020-06-12,71600,0,70800,71600,68400,42541
102,2020-06-11,71600,400,71100,72000,69500,42653
103,2020-06-10,72000,400,73500,73800,72000,20773
106,2020-06-09,72400,600,72600,73300,71500,38785
107,2020-06-08,71800,200,72600,74000,71000,28135
108,2020-06-05,72000,600,72700,72700,70200,40326
109,2020-06-04,72600,3200,69400,74200,69400,77666
110,2020-06-03,69400,1000,68400,69900,68400,44213
114,2020-06-02,68400,1000,66600,68800,66400,40434
115,2020-06-01,67400,400,66200,67600,66000,31569
116,2020-05-29,67000,300,67100,67500,66300,34589
117,2020-05-28,67300,600,67700,68700,66200,35025
118,2020-05-27,67900,100,68800,68900,67500,28993
121,2020-05-26,68000,900,66900,68400,66900,23758
122,2020-05-25,67100,200,68200,68200,66800,17013
123,2020-05-22,67300,1600,69500,69500,66800,30791
124,2020-05-21,68900,100,68600,69400,68500,25161
125,2020-05-20,69000,600,68800,69200,68300,29297
129,2020-05-19,68400,1900,67000,68500,67000,31437
130,2020-05-18,66500,800,65700,66600,65000,18378
131,2020-05-15,65700,400,67500,67500,65000,24421
132,2020-05-14,65300,1400,66500,66500,64600,30970
133,2020-05-13,66700,200,66100,66700,64800,20271
136,2020-05-12,66900,2900,69600,69600,66000,47408
137,2020-05-11,69800,900,70500,71000,69600,28869
138,2020-05-08,70700,100,70800,71100,70300,24045
139,2020-05-07,70800,200,71000,71100,69800,31375
140,2020-05-06,71000,1400,71900,71900,70000,26987
144,2020-05-04,69600,2400,71000,71600,69600,32660
145,2020-04-29,72000,700,72700,72900,70500,31181
146,2020-04-28,71300,3200,68500,71300,68400,41857
147,2020-04-27,68100,1600,66600,69200,66000,29672
148,2020-04-24,66500,1400,67200,67900,66200,17946
151,2020-04-23,67900,1000,66700,67900,66000,24784
152,2020-04-22,66900,400,67200,67200,65100,27059
