,date,close,diff,open,high,low,volume
1,2020-09-16,6540,10,6570,6700,6500,190276
2,2020-09-15,6550,0,6560,6630,6480,235387
3,2020-09-14,6550,70,6530,6640,6480,283250
4,2020-09-11,6480,50,6530,6580,6450,215828
5,2020-09-10,6530,60,6630,6670,6520,238358
9,2020-09-09,6590,90,6360,6590,6360,257089
10,2020-09-08,6500,180,6360,6520,6360,379896
11,2020-09-07,6320,170,6130,6360,6130,269399
12,2020-09-04,6150,110,6150,6180,6050,208322
13,2020-09-03,6260,30,6260,6330,6250,210617
16,2020-09-02,6230,80,6190,6300,6150,239048
17,2020-09-01,6150,0,6100,6170,6070,131098
18,2020-08-31,6150,90,6070,6160,6020,274911
19,2020-08-28,6060,70,6070,6200,6040,182043
20,2020-08-27,5990,160,6190,6190,5970,306605
24,2020-08-26,6150,50,6260,6260,6110,168467
25,2020-08-25,6200,130,6100,6250,6070,243903
26,2020-08-24,6070,30,6000,6100,5920,244337
27,2020-08-21,6040,40,6040,6100,5930,277580
28,2020-08-20,6000,380,6350,6410,5970,531948
31,2020-08-19,6380,20,6500,6550,6370,272909
32,2020-08-18,6400,560,6900,6910,6360,767758
33,2020-08-14,6960,300,6670,7030,6650,1358783
34,2020-08-13,6660,10,6650,6780,6620,411934
35,2020-08-12,6650,40,6690,6700,6590,331281
39,2020-08-11,6690,70,6630,6770,6630,385094
40,2020-08-10,6620,20,6650,6670,6560,329686
41,2020-08-07,6640,60,6750,6750,6640,301681
42,2020-08-06,6700,20,6720,6800,6660,331812
43,2020-08-05,6720,50,6820,6820,6680,418595
46,2020-08-04,6770,80,6860,6900,6720,380941
47,2020-08-03,6850,0,6920,7060,6830,542035
48,2020-07-31,6850,80,6940,7080,6820,748008
49,2020-07-30,6930,280,6750,7270,6710,4048781
50,2020-07-29,6650,70,6730,6740,6630,337159
54,2020-07-28,6720,90,6680,6830,6630,699429
55,2020-07-27,6630,30,6550,6650,6540,200396
56,2020-07-24,6600,30,6590,6640,6550,311907
