,date,close,diff,open,high,low,volume
1,2020-09-16,17650,700,18350,18500,17600,181206
2,2020-09-15,18350,300,18900,18900,18250,128033
3,2020-09-14,18650,450,18400,18950,18350,230451
4,2020-09-11,18200,300,17650,18450,17650,212715
5,2020-09-10,17900,700,17600,18150,17450,227578
9,2020-09-09,17200,300,17100,17700,16900,131526
10,2020-09-08,17500,400,17200,17700,17050,228729
11,2020-09-07,17100,200,17300,17300,16900,158353
12,2020-09-04,17300,450,16750,17450,16550,192898
13,2020-09-03,17750,700,17300,18100,17300,241742
16,2020-09-02,17050,0,17300,17400,16900,164514
17,2020-09-01,17050,250,16800,17050,16700,105389
18,2020-08-31,16800,50,16800,17350,16650,103005
19,2020-08-28,16750,50,17050,17250,16750,99579
20,2020-08-27,16800,650,17650,17650,16800,136351
24,2020-08-26,17450,50,17500,17650,16900,132254
25,2020-08-25,17500,1150,16400,17500,16400,229622
26,2020-08-24,16350,150,16200,16500,15700,188007
27,2020-08-21,16200,500,16800,16950,15800,424747
28,2020-08-20,16700,1350,17800,18100,16600,328480
31,2020-08-19,18050,200,18100,18450,17700,148028
32,2020-08-18,17850,1500,19300,19300,17750,337121
33,2020-08-14,19350,1350,20750,20750,19000,572761
34,2020-08-13,20700,700,20350,21050,20250,334575
35,2020-08-12,20000,300,20250,20450,19600,196870
39,2020-08-11,20300,250,20500,20600,20200,142727
40,2020-08-10,20550,100,20450,20800,19950,199983
41,2020-08-07,20450,650,21050,21300,20300,307711
42,2020-08-06,21100,100,21400,21850,20900,234122
43,2020-08-05,21200,500,21550,21600,21100,291107
46,2020-08-04,21700,450,21450,21800,21000,435346
47,2020-08-03,21250,450,20800,21250,20400,316296
48,2020-07-31,20800,450,21450,21450,20650,238988
49,2020-07-30,21250,950,20550,21500,20500,472205
50,2020-07-29,20300,150,20150,20950,20050,349757
54,2020-07-28,20150,200,20200,20500,20050,209251
55,2020-07-27,19950,300,19500,20200,19500,183904
56,2020-07-24,19650,450,19750,20150,19500,253585
57,2020-07-23,20100,650,20600,20700,20000,251202
58,2020-07-22,20750,500,20350,20850,20050,306285
