,date,close,diff,open,high,low,volume
1,2020-09-16,4630,355,5010,5050,4550,7614464
2,2020-09-15,4985,635,6100,6200,4800,32773747
3,2020-09-14,5620,1290,4340,5620,4330,33105242
4,2020-09-11,4330,75,4490,4650,4100,6509396
5,2020-09-10,4255,470,3785,4605,3770,9566868
9,2020-09-09,3785,50,3835,3935,3735,1402798
10,2020-09-08,3835,55,3850,3950,3790,1819218
11,2020-09-07,3780,20,3685,3980,3685,1950085
12,2020-09-04,3760,85,3545,3800,3545,1522905
13,2020-09-03,3675,25,3670,3725,3635,1095430
16,2020-09-02,3650,15,3715,3735,3620,1146372
17,2020-09-01,3635,25,3600,3835,3480,1876176
18,2020-08-31,3610,25,3650,3710,3580,962379
19,2020-08-28,3635,30,3620,3780,3560,1536038
20,2020-08-27,3605,80,3725,3800,3550,1417041
24,2020-08-26,3685,55,3740,3765,3650,1670871
25,2020-08-25,3740,10,3790,3950,3645,4184523
26,2020-08-24,3750,170,3600,4400,3245,10017826
27,2020-08-21,3580,230,3740,3900,3475,5131045
28,2020-08-20,3350,215,3660,3970,3210,15574996
31,2020-08-19,3135,395,2485,3405,2485,7258684
32,2020-08-18,3530,0,0,0,0,0
33,2020-08-14,3530,5,3505,3595,3420,1546095
34,2020-08-13,3535,130,3665,3700,3520,2112618
35,2020-08-12,3665,260,3715,3915,3625,4276635
39,2020-08-11,3925,80,3870,3930,3715,3520334
40,2020-08-10,3845,145,3955,3955,3630,2700970
41,2020-08-07,3700,60,3680,3850,3650,2131378
42,2020-08-06,3640,30,3610,3735,3590,1224147
43,2020-08-05,3610,5,3645,3645,3565,764033
46,2020-08-04,3605,60,3545,3715,3545,1480702
47,2020-08-03,3545,140,3630,3630,3460,2018850
48,2020-07-31,3685,55,3700,3825,3615,1611568
49,2020-07-30,3740,110,3850,3865,3720,1477458
50,2020-07-29,3850,50,3800,3895,3680,1865464
54,2020-07-28,3800,70,3870,3885,3750,2032729
55,2020-07-27,3870,50,3950,3950,3820,1711306
56,2020-07-24,3920,40,3910,4020,3805,2618739
57,2020-07-23,3960,75,4115,4340,3915,7760567
58,2020-07-22,4035,105,3935,4150,3855,6428890
61,2020-07-21,3930,20,3935,4020,3770,2810901
62,2020-07-20,3910,105,3975,4000,3850,2266127
63,2020-07-17,4015,25,4030,4095,3930,3231268
64,2020-07-16,3990,85,3910,4180,3890,5267384
65,2020-07-15,3905,165,3760,4345,3640,16410471
69,2020-07-14,3740,90,3830,3830,3695,2390730
70,2020-07-13,3830,75,3850,3905,3670,4741502
71,2020-07-10,3905,110,3920,3950,3755,5032386
72,2020-07-09,4015,55,4120,4245,3945,7785385
73,2020-07-08,3960,165,4390,4775,3925,29214343
76,2020-07-07,4125,700,3500,4450,3480,61639078
77,2020-07-06,3425,100,3405,3555,3325,5747454
78,2020-07-03,3325,20,3255,3450,3205,4037031
79,2020-07-02,3305,20,3285,3400,3165,3552082
80,2020-07-01,3285,65,3210,3645,3030,14007833
84,2020-06-30,3220,385,3680,3680,3085,7161254
85,2020-06-29,3605,115,3720,4085,3400,11055808
86,2020-06-26,3720,350,3400,4295,3320,56482816
87,2020-06-25,3370,315,3540,4000,3220,29647414
88,2020-06-24,3685,1325,5650,5890,3575,51002970
91,2020-06-23,5010,1150,4150,5010,4120,55331525
92,2020-06-22,3860,890,2975,3860,2910,37020861
93,2020-06-19,2970,685,2350,2970,2235,25149812
94,2020-06-18,2285,295,1925,2480,1850,12961605
95,2020-06-17,1990,80,2000,2075,1935,1745167
99,2020-06-16,2070,95,1975,2230,1895,5909525
100,2020-06-15,1975,125,1950,2250,1890,3961293
101,2020-06-12,2100,125,2100,2215,2080,1846511
102,2020-06-11,2225,140,2350,2350,2120,4051951
103,2020-06-10,2365,105,2440,2445,2255,2951765
106,2020-06-09,2470,180,2290,2615,2290,9794598
107,2020-06-08,2290,365,1965,2425,1960,12407707
108,2020-06-05,1925,185,1725,2010,1710,5801122
109,2020-06-04,1740,85,1695,1820,1655,2416297
110,2020-06-03,1655,20,1635,1725,1615,2227843
114,2020-06-02,1635,10,1625,1650,1570,1322193
115,2020-06-01,1625,5,1670,1705,1605,1959690
