,date,close,diff,open,high,low,volume
1,2020-09-16,159500,4500,165000,165000,157000,113309
2,2020-09-15,164000,3000,170000,173000,161500,129917
3,2020-09-14,167000,2500,167500,176500,163000,172925
4,2020-09-11,164500,2000,162000,171000,160000,131287
5,2020-09-10,162500,1500,164500,167000,156500,227622
9,2020-09-09,164000,10500,151000,173500,150500,485086
10,2020-09-08,153500,8500,147000,164500,145500,690399
11,2020-09-07,145000,29500,118000,150000,116000,915584
12,2020-09-04,115500,3500,114500,116000,113000,108767
13,2020-09-03,119000,2500,117500,120000,116000,60617
16,2020-09-02,116500,1500,115500,119000,114500,50379
17,2020-09-01,115000,3000,119000,119500,114000,80280
18,2020-08-31,118000,4000,115000,121000,115000,94774
19,2020-08-28,114000,500,116000,117500,114000,39312
20,2020-08-27,114500,0,114000,116000,113000,26230
24,2020-08-26,114500,3500,118000,118000,112500,51938
25,2020-08-25,118000,4500,115000,120000,113500,54907
26,2020-08-24,113500,1000,112500,115000,110500,26812
27,2020-08-21,112500,1500,112000,115500,112000,45950
28,2020-08-20,111000,7000,116500,117000,110000,56636
31,2020-08-19,118000,1000,117000,120000,116000,28831
32,2020-08-18,117000,4500,122500,123000,117000,62621
33,2020-08-14,121500,2500,120500,123500,119000,66043
34,2020-08-13,119000,1000,123000,123000,119000,53078
35,2020-08-12,120000,0,121000,121500,117500,41395
39,2020-08-11,120000,1000,121500,124000,119500,74357
40,2020-08-10,119000,3000,116000,122000,114500,94694
41,2020-08-07,116000,3500,120000,120500,115000,58845
42,2020-08-06,119500,3000,117000,122000,116000,68205
43,2020-08-05,116500,1000,115500,117500,113500,40695
46,2020-08-04,115500,2000,113500,119000,113500,64460
47,2020-08-03,113500,3000,115500,116000,113000,27796
48,2020-07-31,116500,500,115500,117000,113000,68656
49,2020-07-30,116000,4500,121000,121500,115000,108926
50,2020-07-29,120500,9000,125000,126500,119000,231753
54,2020-07-28,129500,5000,126000,130000,123500,87545
55,2020-07-27,124500,2000,123000,128000,121500,55380
56,2020-07-24,122500,0,120500,124000,120000,23361
57,2020-07-23,122500,2500,126500,127000,120500,40837
58,2020-07-22,125000,4000,122000,130000,121000,90606
61,2020-07-21,121000,3500,124500,126000,120000,63773
62,2020-07-20,124500,0,125000,126500,122500,35197
63,2020-07-17,124500,3000,128000,131000,123000,38619
64,2020-07-16,127500,1500,130000,130500,125500,39859
65,2020-07-15,129000,6500,126000,132500,126000,109855
69,2020-07-14,122500,1500,122000,128000,122000,66853
70,2020-07-13,124000,9500,116000,125000,115000,92819
71,2020-07-10,114500,3000,116500,117000,113500,31489
72,2020-07-09,117500,1000,117500,118500,115500,55246
73,2020-07-08,116500,1000,115500,119000,114000,40020
76,2020-07-07,115500,4000,112000,118000,110500,67198
77,2020-07-06,111500,500,111500,114500,109500,42424
78,2020-07-03,111000,0,111500,113000,109500,18186
79,2020-07-02,111000,1000,111000,113000,109500,27157
80,2020-07-01,110000,3000,114500,114500,110000,25912
