,date,close,diff,open,high,low,volume
1,2020-09-16,8900,170,9010,9290,8830,715218
2,2020-09-15,9070,100,9200,10250,9040,7481415
3,2020-09-14,9170,540,8580,9450,8560,4591776
4,2020-09-11,8630,340,8850,8870,8410,1320404
5,2020-09-10,8970,610,8350,9680,8300,10410083
9,2020-09-09,8360,340,8200,8360,7980,1015086
10,2020-09-08,8020,140,8400,8820,8020,1212677
11,2020-09-07,8160,290,7970,8300,7870,1216232
12,2020-09-04,7870,260,7700,7930,7590,759936
13,2020-09-03,8130,200,7930,8150,7690,723117
16,2020-09-02,7930,980,8610,8650,7870,1778333
17,2020-09-01,8910,1260,7670,8910,7650,1635469
18,2020-08-31,7650,100,7700,7930,7620,508093
19,2020-08-28,7750,160,7910,9170,7750,5455295
20,2020-08-27,7910,130,8020,8200,7670,828309
24,2020-08-26,8040,290,8360,8370,7980,753731
25,2020-08-25,8330,10,8270,8370,8070,926042
26,2020-08-24,8340,520,7580,8440,7400,1870250
27,2020-08-21,7820,580,8220,8330,7780,1240068
28,2020-08-20,8400,230,8320,8710,7940,2802056
31,2020-08-19,8170,340,8410,9330,7830,7948864
32,2020-08-18,7830,130,7790,8290,7500,2767640
33,2020-08-14,7700,10,8300,9680,7630,9795932
34,2020-08-13,7710,630,7360,8250,7160,15333197
35,2020-08-12,7080,1630,5460,7080,5410,7262285
39,2020-08-11,5450,80,5590,5740,5420,429823
40,2020-08-10,5530,350,5200,5810,5130,986551
41,2020-08-07,5180,70,5140,5220,5100,121245
42,2020-08-06,5110,50,5200,5270,5100,116473
43,2020-08-05,5160,60,5220,5240,5140,96977
46,2020-08-04,5220,0,5220,5300,5170,80137
47,2020-08-03,5220,90,5130,5280,5090,104010
48,2020-07-31,5130,30,5150,5280,5030,202608
49,2020-07-30,5100,60,5170,5220,4890,131622
50,2020-07-29,5160,10,5170,5220,5070,77190
54,2020-07-28,5170,10,5200,5350,5160,103040
55,2020-07-27,5160,30,5130,5280,5130,117195
56,2020-07-24,5130,280,5310,5420,5090,237156
57,2020-07-23,5410,130,5550,5550,5320,264538
58,2020-07-22,5540,110,5450,5620,5450,253266
61,2020-07-21,5430,70,5550,5550,5350,264355
62,2020-07-20,5500,160,5660,5680,5450,258382
63,2020-07-17,5660,150,5760,5860,5660,261129
64,2020-07-16,5810,120,5720,5930,5720,426345
65,2020-07-15,5690,60,5890,6050,5620,907904
69,2020-07-14,5630,10,5700,5950,5500,1143529
70,2020-07-13,5640,250,5390,5760,5340,1167170
71,2020-07-10,5390,60,5350,5400,5150,293177
72,2020-07-09,5330,150,5500,5590,5250,430975
73,2020-07-08,5480,60,5520,5540,5380,396118
76,2020-07-07,5420,180,5600,5790,5300,999198
77,2020-07-06,5600,390,5190,5700,5060,2251523
78,2020-07-03,5210,485,4795,5210,4780,1074559
79,2020-07-02,4725,30,4685,4785,4605,264705
80,2020-07-01,4695,175,4950,4990,4655,366460
84,2020-06-30,4870,150,5100,5150,4825,564603
85,2020-06-29,5020,260,5110,5270,4990,779249
86,2020-06-26,5280,380,4995,5280,4860,1676523
87,2020-06-25,4900,540,4600,5660,4555,12118554
88,2020-06-24,4360,30,4445,4585,4325,237321
91,2020-06-23,4390,240,4150,4500,4150,393452
92,2020-06-22,4150,35,4195,4195,4085,40331
93,2020-06-19,4115,15,4105,4185,4055,62680
94,2020-06-18,4100,60,4180,4180,4050,68409
95,2020-06-17,4160,80,4210,4270,4075,101037
99,2020-06-16,4240,90,4150,4295,4145,142580
100,2020-06-15,4150,350,4505,4570,4150,255517
